Aircraft (A/C) Serial Number,A/C Landing Date,A/C Landing Time,A/C departure Date,A/C departure Time,Turn Around Time,Work that needs to be carried out
101,26/07/2025,20:34,27/07/2025,01:58,05:24,"WP24, WP8"
102,26/07/2025,15:39,26/07/2025,16:15,00:36,WP8
103,26/07/2025,04:19,26/07/2025,08:43,04:24,"WP13, WP17, WP18"
104,26/07/2025,05:28,26/07/2025,09:04,03:36,WP22
105,26/07/2025,05:01,26/07/2025,15:49,10:48,"WP9, WP12, WP1, WP19, WP12"
106,26/07/2025,21:55,27/07/2025,01:55,04:00,"WP14, WP7, WP15, WP11"
107,26/07/2025,07:50,26/07/2025,17:02,09:12,"WP2, WP10, WP19"
108,26/07/2025,10:34,26/07/2025,11:10,00:36,WP11
109,26/07/2025,11:05,26/07/2025,17:05,06:00,WP20
110,26/07/2025,05:53,26/07/2025,12:17,06:24,"WP5, WP2, WP10, WP22"
111,26/07/2025,05:25,26/07/2025,09:25,04:00,"WP17, WP3, WP10"
112,26/07/2025,15:08,26/07/2025,16:44,01:36,WP18
113,26/07/2025,11:50,26/07/2025,13:26,01:36,WP16
114,26/07/2025,11:17,26/07/2025,16:41,05:24,"WP6, WP21"
115,26/07/2025,19:19,27/07/2025,00:07,04:48,WP21
116,26/07/2025,04:24,26/07/2025,05:00,00:36,WP4
117,26/07/2025,05:17,26/07/2025,12:29,07:12,WP19
118,26/07/2025,09:48,26/07/2025,13:48,04:00,"WP3, WP17, WP4, WP4"
119,26/07/2025,02:15,26/07/2025,08:15,06:00,WP23
120,26/07/2025,05:18,26/07/2025,06:06,00:48,WP12
