Aircraft (A/C) Serial Number,A/C Landing Date,A/C Landing Time,A/C departure Date,A/C departure Time,Turn Around Time,Work that needs to be carried out
101,07/02/2025,06:15,07/02/2025,12:51,06:36,"WP23, WP4"
102,07/02/2025,15:44,08/02/2025,19:44,28:00,"WP9, WP16, WP3"
103,07/02/2025,03:14,08/02/2025,05:14,26:00,"WP14, WP2"
104,07/02/2025,02:52,07/02/2025,06:04,03:12,"WP18, WP17"
105,07/02/2025,00:22,07/02/2025,16:34,16:12,"WP21, WP20, WP24, WP7"
106,07/02/2025,08:29,07/02/2025,17:53,09:24,"WP13, WP7, WP15, WP20"
107,07/02/2025,07:56,07/02/2025,09:44,01:48,"WP6, WP14"
108,07/02/2025,19:40,08/02/2025,02:40,07:00,"WP7, WP17, WP21"
109,07/02/2025,17:57,08/02/2025,20:21,26:24,"WP2, WP15"
110,07/02/2025,18:09,08/02/2025,02:57,08:48,"WP17, WP9, WP3, WP21"
111,07/02/2025,13:51,07/02/2025,21:51,08:00,"WP15, WP21, WP16"
112,07/02/2025,03:24,07/02/2025,10:00,06:36,"WP10, WP7, WP21"
113,07/02/2025,02:39,07/02/2025,07:27,04:48,"WP22, WP10"
114,07/02/2025,13:04,08/02/2025,15:04,26:00,"WP12, WP9"
115,07/02/2025,07:01,08/02/2025,10:25,27:24,"WP11, WP18, WP13"
116,07/02/2025,11:04,07/02/2025,12:28,01:24,"WP8, WP1"
117,07/02/2025,12:51,07/02/2025,14:39,01:48,"WP4, WP7, WP8"
118,07/02/2025,13:57,08/02/2025,02:33,12:36,"WP19, WP8, WP21"
119,07/02/2025,08:48,08/02/2025,10:48,26:00,"WP5, WP9"
120,07/02/2025,04:26,08/02/2025,05:14,24:48,WP12
