Aircraft (A/C) Serial Number,A/C Landing Date,A/C Landing Time,A/C departure Date,A/C departure Time,Turn Around Time,Work that needs to be carried out
101,24/05/2025,15:05,24/05/2025,21:29,06:24,"WP17, WP21"
102,24/05/2025,06:13,24/05/2025,17:01,10:48,"WP21, WP23"
103,24/05/2025,23:11,24/05/2025,23:47,00:36,WP4
104,24/05/2025,01:45,24/05/2025,09:21,07:36,"WP18, WP20"
105,24/05/2025,09:06,24/05/2025,11:54,02:48,"WP15, WP13"
106,24/05/2025,09:45,24/05/2025,18:57,09:12,"WP16, WP9, WP1, WP5, WP21"
107,24/05/2025,19:13,24/05/2025,23:13,04:00,"WP12, WP9, WP12, WP9"
108,24/05/2025,08:34,24/05/2025,21:46,13:12,"WP23, WP19"
109,24/05/2025,23:32,25/05/2025,00:08,00:36,WP8
110,24/05/2025,11:07,25/05/2025,00:55,13:48,"WP2, WP23, WP17, WP11, WP24"
111,24/05/2025,23:11,25/05/2025,05:23,06:12,"WP10, WP7, WP22, WP12"
112,24/05/2025,16:47,24/05/2025,20:11,03:24,"WP1, WP3, WP8, WP1"
113,24/05/2025,13:16,24/05/2025,13:52,00:36,WP11
114,24/05/2025,02:11,24/05/2025,02:47,00:36,WP7
115,24/05/2025,09:07,24/05/2025,09:55,00:48,WP5
116,24/05/2025,04:52,24/05/2025,06:16,01:24,"WP6, WP12"
117,24/05/2025,11:50,24/05/2025,15:26,03:36,WP22
118,24/05/2025,04:22,24/05/2025,05:34,01:12,WP3
119,24/05/2025,13:45,24/05/2025,22:57,09:12,"WP20, WP13, WP3, WP5"
120,24/05/2025,04:01,24/05/2025,05:13,01:12,WP14
