Aircraft (A/C) Serial Number,A/C Landing Date,A/C Landing Time,A/C departure Date,A/C departure Time,Turn Around Time,Work that needs to be carried out
101,07/03/2025,18:27,07/03/2025,19:39,01:12,WP14
102,07/03/2025,06:22,07/03/2025,08:46,02:24,"WP16, WP5"
103,07/03/2025,16:22,08/03/2025,06:46,14:24,"WP2, WP20, WP24, WP14, WP16"
104,07/03/2025,18:03,08/03/2025,02:39,08:36,"WP4, WP2, WP24, WP10, WP14"
105,07/03/2025,02:14,07/03/2025,03:50,01:36,WP18
106,07/03/2025,15:36,07/03/2025,16:24,00:48,WP12
107,07/03/2025,23:11,07/03/2025,23:47,00:36,WP6
108,07/03/2025,02:30,07/03/2025,07:18,04:48,"WP22, WP13"
109,07/03/2025,04:37,07/03/2025,05:13,00:36,WP11
110,07/03/2025,07:03,07/03/2025,13:03,06:00,WP23
111,07/03/2025,09:03,07/03/2025,11:27,02:24,"WP17, WP5"
112,07/03/2025,14:18,08/03/2025,04:42,14:24,"WP24, WP6, WP20, WP11, WP18, WP12"
113,07/03/2025,03:43,07/03/2025,06:07,02:24,"WP13, WP3"
114,07/03/2025,15:28,07/03/2025,20:16,04:48,WP21
115,07/03/2025,22:55,08/03/2025,17:55,19:00,"WP19, WP9, WP14, WP23, WP11, WP7, WP17, WP7"
116,07/03/2025,13:08,07/03/2025,14:44,01:36,WP15
117,07/03/2025,01:53,07/03/2025,07:53,06:00,"WP10, WP21"
118,07/03/2025,19:31,07/03/2025,21:43,02:12,"WP8, WP15"
119,07/03/2025,13:59,07/03/2025,15:47,01:48,"WP7, WP14"
120,07/03/2025,12:05,07/03/2025,14:05,02:00,"WP1, WP11, WP8"
