Aircraft (A/C) Serial Number,A/C Landing Date,A/C Landing Time,A/C departure Date,A/C departure Time,Turn Around Time,Work that needs to be carried out
101,09/06/2025,11:22,09/06/2025,18:46,07:24,"WP23, WP12, WP4"
102,09/06/2025,17:27,09/06/2025,19:51,02:24,"WP1, WP17"
103,09/06/2025,02:48,09/06/2025,06:00,03:12,"WP15, WP5, WP12"
104,09/06/2025,07:05,09/06/2025,08:41,01:36,"WP12, WP1"
105,09/06/2025,20:53,11/06/2025,00:53,28:00,"WP14, WP15, WP9"
106,09/06/2025,19:12,10/06/2025,03:00,07:48,"WP7, WP24, WP13, WP9"
107,09/06/2025,18:59,10/06/2025,03:35,08:36,"WP24, WP2, WP9, WP11, WP13"
108,09/06/2025,19:00,09/06/2025,21:00,02:00,"WP13, WP5"
109,09/06/2025,14:24,09/06/2025,23:24,09:00,"WP19, WP7, WP14"
110,09/06/2025,22:42,10/06/2025,16:54,18:12,"WP8, WP19, WP22, WP1, WP11, WP21, WP6"
111,09/06/2025,03:35,09/06/2025,06:35,03:00,"WP10, WP4, WP14"
112,09/06/2025,07:50,09/06/2025,15:26,07:36,"WP20, WP15"
113,09/06/2025,04:55,09/06/2025,10:07,05:12,"WP5, WP22, WP1"
114,09/06/2025,17:51,09/06/2025,21:51,04:00,"WP11, WP18, WP13, WP4"
115,09/06/2025,00:56,09/06/2025,06:44,05:48,"WP22, WP15, WP11"
116,09/06/2025,09:57,09/06/2025,11:21,01:24,"WP6, WP2"
117,09/06/2025,07:36,10/06/2025,11:12,27:36,"WP16, WP3, WP12"
118,09/06/2025,18:00,10/06/2025,01:36,07:36,"WP17, WP20"
119,09/06/2025,01:52,09/06/2025,09:16,07:24,"WP12, WP21, WP7, WP3"
120,09/06/2025,02:18,10/06/2025,03:06,24:48,WP12
