Aircraft (A/C) Serial Number,A/C Landing Date,A/C Landing Time,A/C departure Date,A/C departure Time,Turn Around Time,Work that needs to be carried out
101,15/12/2025,00:24,15/12/2025,06:24,06:00,"WP21, WP13"
102,15/12/2025,02:58,16/12/2025,05:22,26:24,"WP4, WP9, WP8"
103,15/12/2025,11:18,15/12/2025,17:18,06:00,"WP24, WP9"
104,15/12/2025,22:58,16/12/2025,00:46,01:48,"WP14, WP8"
105,15/12/2025,17:59,16/12/2025,06:47,12:48,"WP13, WP7, WP18, WP15, WP19, WP4"
106,15/12/2025,09:02,15/12/2025,17:26,08:24,"WP10, WP23, WP14"
107,15/12/2025,16:00,16/12/2025,17:12,25:12,"WP7, WP8"
108,15/12/2025,22:59,16/12/2025,05:35,06:36,"WP11, WP21, WP10"
109,15/12/2025,16:24,15/12/2025,22:24,06:00,"WP3, WP21"
110,15/12/2025,13:00,16/12/2025,00:12,11:12,"WP9, WP21, WP22, WP18"
111,15/12/2025,22:38,17/12/2025,00:26,25:48,"WP8, WP14"
112,15/12/2025,06:09,15/12/2025,21:21,15:12,"WP16, WP18, WP23, WP20"
113,15/12/2025,17:47,16/12/2025,20:11,26:24,"WP15, WP5"
114,15/12/2025,22:07,17/12/2025,00:31,26:24,"WP17, WP12"
115,15/12/2025,12:47,15/12/2025,15:11,02:24,"WP2, WP15"
116,15/12/2025,01:14,16/12/2025,03:38,26:24,"WP18, WP1"
117,15/12/2025,22:28,16/12/2025,03:28,05:00,"WP12, WP6, WP22"
118,15/12/2025,16:16,16/12/2025,03:04,10:48,"WP20, WP24"
119,15/12/2025,22:28,15/12/2025,23:16,00:48,WP1
120,15/12/2025,02:46,15/12/2025,06:58,04:12,"WP15, WP1, WP8, WP9"
