Aircraft (A/C) Serial Number,A/C Landing Date,A/C Landing Time,A/C departure Date,A/C departure Time,Turn Around Time,Work that needs to be carried out
101,26/01/2025,13:07,26/01/2025,18:43,05:36,"WP24, WP2"
102,26/01/2025,14:19,27/01/2025,09:55,19:36,"WP19, WP23, WP18, WP10, WP14, WP16, WP2"
103,26/01/2025,18:21,27/01/2025,02:21,08:00,"WP5, WP6, WP20, WP4"
104,26/01/2025,20:17,26/01/2025,21:53,01:36,WP15
105,26/01/2025,10:36,26/01/2025,11:24,00:48,WP2
106,26/01/2025,13:12,26/01/2025,18:48,05:36,"WP12, WP21"
107,26/01/2025,13:44,26/01/2025,16:32,02:48,"WP11, WP4, WP17"
108,26/01/2025,16:04,27/01/2025,02:04,10:00,"WP13, WP13, WP15, WP23"
109,26/01/2025,00:59,26/01/2025,02:23,01:24,"WP1, WP6"
110,26/01/2025,13:22,27/01/2025,03:58,14:36,"WP9, WP1, WP21, WP19, WP8"
111,26/01/2025,07:33,26/01/2025,13:33,06:00,WP23
112,26/01/2025,18:23,26/01/2025,22:35,04:12,"WP22, WP11"
113,26/01/2025,12:16,26/01/2025,15:52,03:36,"WP14, WP14, WP10"
114,26/01/2025,04:32,26/01/2025,05:08,00:36,WP8
115,26/01/2025,17:55,26/01/2025,18:31,00:36,WP6
116,26/01/2025,12:35,26/01/2025,15:59,03:24,"WP4, WP16, WP3"
117,26/01/2025,16:36,26/01/2025,18:12,01:36,WP16
118,26/01/2025,03:45,26/01/2025,09:09,05:24,"WP7, WP21"
119,26/01/2025,02:07,26/01/2025,03:19,01:12,WP10
120,26/01/2025,01:12,26/01/2025,13:12,12:00,"WP21, WP24, WP14, WP13"
