Aircraft (A/C) Serial Number,A/C Landing Date,A/C Landing Time,A/C departure Date,A/C departure Time,Turn Around Time,Work that needs to be carried out
101,21/03/2025,19:28,22/03/2025,01:40,06:12,"WP7, WP2, WP4, WP22, WP8"
102,21/03/2025,05:47,22/03/2025,07:11,25:24,"WP6, WP1"
103,21/03/2025,17:43,22/03/2025,05:43,12:00,"WP21, WP13, WP20"
104,21/03/2025,21:01,22/03/2025,23:49,26:48,"WP9, WP18"
105,21/03/2025,17:34,22/03/2025,18:58,25:24,"WP12, WP4"
106,21/03/2025,00:30,21/03/2025,02:54,02:24,"WP5, WP16"
107,21/03/2025,02:51,21/03/2025,06:51,04:00,"WP18, WP9, WP3"
108,21/03/2025,15:20,21/03/2025,23:20,08:00,"WP1, WP19"
109,21/03/2025,14:32,21/03/2025,20:56,06:24,"WP24, WP15"
110,21/03/2025,03:56,21/03/2025,06:08,02:12,"WP8, WP16"
111,21/03/2025,03:54,21/03/2025,12:42,08:48,"WP16, WP10, WP21, WP9"
112,21/03/2025,18:10,21/03/2025,19:58,01:48,"WP10, WP8"
113,21/03/2025,17:04,21/03/2025,20:04,03:00,"WP15, WP8, WP5"
114,21/03/2025,19:47,21/03/2025,22:11,02:24,"WP3, WP14"
115,21/03/2025,00:40,22/03/2025,02:28,25:48,"WP11, WP3"
116,21/03/2025,22:46,23/03/2025,01:10,26:24,"WP2, WP16"
117,21/03/2025,12:50,22/03/2025,02:50,14:00,"WP14, WP1, WP21, WP19"
118,21/03/2025,09:00,21/03/2025,14:00,05:00,"WP4, WP1, WP3, WP5, WP18"
119,21/03/2025,13:32,22/03/2025,16:20,26:48,"WP17, WP3"
120,21/03/2025,17:10,22/03/2025,01:34,08:24,"WP12, WP23, WP15"
