Aircraft (A/C) Serial Number,A/C Landing Date,A/C Landing Time,A/C departure Date,A/C departure Time,Turn Around Time,Work that needs to be carried out
101,25/08/2025,14:44,25/08/2025,16:44,02:00,"WP3, WP12"
102,25/08/2025,05:30,25/08/2025,12:30,07:00,"WP16, WP4, WP3, WP22"
103,25/08/2025,11:06,26/08/2025,07:54,20:48,"WP19, WP15, WP21, WP20, WP7, WP6"
104,25/08/2025,02:22,26/08/2025,03:34,25:12,"WP11, WP8"
105,25/08/2025,12:51,26/08/2025,14:15,25:24,"WP4, WP2"
106,25/08/2025,14:49,25/08/2025,17:37,02:48,"WP17, WP13"
107,25/08/2025,00:38,25/08/2025,07:02,06:24,"WP18, WP24"
108,25/08/2025,07:41,26/08/2025,09:29,25:48,"WP10, WP11"
109,25/08/2025,11:34,26/08/2025,15:10,27:36,"WP15, WP1, WP3"
110,25/08/2025,15:15,25/08/2025,17:15,02:00,"WP2, WP9"
111,25/08/2025,08:52,25/08/2025,15:40,06:48,"WP24, WP2, WP13"
112,25/08/2025,19:29,26/08/2025,03:29,08:00,"WP14, WP20, WP12"
113,25/08/2025,17:58,26/08/2025,19:46,25:48,"WP8, WP13"
114,25/08/2025,15:17,25/08/2025,22:29,07:12,"WP6, WP11, WP20"
115,25/08/2025,17:43,26/08/2025,01:31,07:48,"WP9, WP6, WP23"
116,25/08/2025,06:27,25/08/2025,10:51,04:24,"WP5, WP22"
117,25/08/2025,01:32,26/08/2025,02:44,25:12,WP10
118,25/08/2025,01:43,26/08/2025,02:19,24:36,WP8
119,25/08/2025,22:38,26/08/2025,00:14,01:36,WP15
120,25/08/2025,18:52,26/08/2025,19:28,24:36,WP11
