Aircraft (A/C) Serial Number,A/C Landing Date,A/C Landing Time,A/C departure Date,A/C departure Time,Turn Around Time,Work that needs to be carried out
101,22/06/2025,18:22,22/06/2025,21:58,03:36,WP22
102,22/06/2025,10:59,22/06/2025,16:23,05:24,"WP4, WP21"
103,22/06/2025,16:44,22/06/2025,18:44,02:00,"WP10, WP1"
104,22/06/2025,17:25,22/06/2025,20:01,02:36,"WP11, WP5, WP9"
105,22/06/2025,18:49,23/06/2025,02:25,07:36,"WP16, WP23"
106,22/06/2025,17:51,23/06/2025,21:03,27:12,"WP3, WP7, WP2, WP6"
107,22/06/2025,09:42,22/06/2025,15:18,05:36,"WP12, WP24"
108,22/06/2025,18:07,22/06/2025,19:31,01:24,"WP1, WP7"
109,22/06/2025,11:55,22/06/2025,16:43,04:48,"WP9, WP15, WP3, WP5"
110,22/06/2025,22:15,23/06/2025,23:39,25:24,"WP2, WP7"
111,22/06/2025,22:29,23/06/2025,04:29,06:00,"WP21, WP14"
112,22/06/2025,10:27,22/06/2025,19:15,08:48,"WP18, WP9, WP20"
113,22/06/2025,08:33,22/06/2025,12:09,03:36,"WP17, WP13, WP2"
114,22/06/2025,01:14,22/06/2025,11:14,10:00,"WP13, WP16, WP4, WP8, WP23"
115,22/06/2025,05:13,22/06/2025,12:25,07:12,"WP20, WP14"
116,22/06/2025,02:35,23/06/2025,05:23,26:48,"WP5, WP12, WP13"
117,22/06/2025,12:23,22/06/2025,20:11,07:48,"WP7, WP19"
118,22/06/2025,08:11,22/06/2025,09:23,01:12,"WP6, WP7"
119,22/06/2025,09:50,23/06/2025,11:26,25:36,WP17
120,22/06/2025,18:42,23/06/2025,00:42,06:00,"WP24, WP3"
