Aircraft (A/C) Serial Number,A/C Landing Date,A/C Landing Time,A/C departure Date,A/C departure Time,Turn Around Time,Work that needs to be carried out
101,04/10/2025,13:31,05/10/2025,15:43,26:12,"WP7, WP15"
102,04/10/2025,01:38,04/10/2025,07:02,05:24,"WP2, WP14, WP10, WP11, WP15"
103,04/10/2025,14:24,04/10/2025,21:00,06:36,"WP6, WP20"
104,04/10/2025,11:09,04/10/2025,19:57,08:48,"WP19, WP16"
105,04/10/2025,07:50,05/10/2025,10:38,26:48,"WP14, WP18"
106,04/10/2025,04:52,05/10/2025,07:40,26:48,"WP10, WP15"
107,04/10/2025,09:52,04/10/2025,15:52,06:00,"WP24, WP9"
108,04/10/2025,19:51,04/10/2025,22:39,02:48,"WP16, WP3"
109,04/10/2025,21:45,05/10/2025,03:09,05:24,"WP11, WP21"
110,04/10/2025,21:50,04/10/2025,23:50,02:00,"WP3, WP2"
111,04/10/2025,04:00,04/10/2025,06:12,02:12,"WP8, WP17"
112,04/10/2025,19:50,05/10/2025,23:26,27:36,"WP1, WP5, WP13, WP2"
113,04/10/2025,03:31,05/10/2025,05:07,25:36,WP18
114,04/10/2025,13:24,05/10/2025,05:48,16:24,"WP5, WP16, WP2, WP20, WP19"
115,04/10/2025,22:11,05/10/2025,08:59,10:48,"WP22, WP19"
116,04/10/2025,20:03,05/10/2025,06:15,10:12,"WP9, WP10, WP14, WP20, WP6"
117,04/10/2025,02:19,04/10/2025,05:55,03:36,"WP12, WP9, WP15"
118,04/10/2025,05:49,04/10/2025,12:25,06:36,"WP23, WP4"
119,04/10/2025,09:52,05/10/2025,13:16,27:24,"WP17, WP11, WP13"
120,04/10/2025,10:30,05/10/2025,11:42,25:12,WP14
