Aircraft (A/C) Serial Number,A/C Landing Date,A/C Landing Time,A/C departure Date,A/C departure Time,Turn Around Time,Work that needs to be carried out
101,01/08/2025,18:19,02/08/2025,21:43,27:24,"WP18, WP14, WP11"
102,01/08/2025,14:28,01/08/2025,23:28,09:00,"WP14, WP15, WP10, WP5, WP22, WP7"
103,01/08/2025,12:15,02/08/2025,14:39,26:24,"WP9, WP13"
104,01/08/2025,16:58,01/08/2025,18:58,02:00,"WP12, WP14"
105,01/08/2025,13:49,01/08/2025,15:49,02:00,"WP6, WP2, WP4"
106,01/08/2025,07:56,01/08/2025,11:08,03:12,"WP15, WP17"
107,01/08/2025,10:37,01/08/2025,15:37,05:00,"WP4, WP22, WP5"
108,01/08/2025,03:18,01/08/2025,05:06,01:48,"WP8, WP14"
109,01/08/2025,06:03,01/08/2025,13:51,07:48,"WP19, WP7"
110,01/08/2025,08:14,01/08/2025,15:26,07:12,"WP20, WP3"
111,01/08/2025,01:48,01/08/2025,09:24,07:36,"WP17, WP24, WP10"
112,01/08/2025,12:53,02/08/2025,01:29,12:36,"WP7, WP19, WP24"
113,01/08/2025,21:54,02/08/2025,04:54,07:00,"WP16, WP11, WP21"
114,01/08/2025,10:58,02/08/2025,12:58,26:00,"WP1, WP10"
115,01/08/2025,17:31,02/08/2025,00:19,06:48,"WP23, WP12"
116,01/08/2025,01:02,01/08/2025,15:26,14:24,"WP13, WP22, WP19, WP10, WP9"
117,01/08/2025,10:08,02/08/2025,11:20,25:12,WP10
118,01/08/2025,12:14,01/08/2025,18:26,06:12,"WP24, WP1, WP6"
119,01/08/2025,15:29,01/08/2025,16:41,01:12,WP3
120,01/08/2025,13:49,02/08/2025,15:01,25:12,WP3
