Aircraft (A/C) Serial Number,A/C Landing Date,A/C Landing Time,A/C departure Date,A/C departure Time,Turn Around Time,Work that needs to be carried out
101,05/03/2025,07:10,05/03/2025,14:46,07:36,"WP1, WP11, WP5, WP24, WP4"
102,05/03/2025,09:35,05/03/2025,10:47,01:12,WP14
103,05/03/2025,08:46,05/03/2025,11:46,03:00,"WP16, WP5, WP6"
104,05/03/2025,10:15,05/03/2025,10:51,00:36,WP8
105,05/03/2025,15:33,05/03/2025,16:21,00:48,WP12
106,05/03/2025,14:38,05/03/2025,22:14,07:36,"WP15, WP24, WP14"
107,05/03/2025,10:31,05/03/2025,18:55,08:24,"WP19, WP9"
108,05/03/2025,06:50,05/03/2025,08:02,01:12,WP10
109,05/03/2025,22:34,06/03/2025,09:22,10:48,"WP22, WP19"
110,05/03/2025,05:53,05/03/2025,07:17,01:24,"WP2, WP7"
111,05/03/2025,07:48,05/03/2025,09:00,01:12,WP3
112,05/03/2025,10:13,05/03/2025,11:49,01:36,WP18
113,05/03/2025,00:38,05/03/2025,07:14,06:36,"WP23, WP7"
114,05/03/2025,20:02,05/03/2025,21:14,01:12,WP9
115,05/03/2025,05:14,05/03/2025,18:02,12:48,"WP21, WP2, WP13, WP23"
116,05/03/2025,06:23,05/03/2025,10:35,04:12,"WP4, WP22"
117,05/03/2025,05:45,05/03/2025,12:33,06:48,"WP5, WP20"
118,05/03/2025,18:16,06/03/2025,01:04,06:48,"WP24, WP5, WP11, WP8"
119,05/03/2025,16:09,05/03/2025,22:09,06:00,WP20
120,05/03/2025,00:50,05/03/2025,13:50,13:00,"WP17, WP24, WP13, WP12, WP6, WP15, WP14, WP14"
