Aircraft (A/C) Serial Number,A/C Landing Date,A/C Landing Time,A/C departure Date,A/C departure Time,Turn Around Time,Work that needs to be carried out
101,28/02/2025,17:14,01/03/2025,03:02,09:48,"WP15, WP23, WP6, WP15"
102,28/02/2025,18:48,28/02/2025,21:36,02:48,"WP8, WP2, WP7, WP1"
103,28/02/2025,18:24,01/03/2025,00:48,06:24,"WP17, WP21"
104,28/02/2025,22:10,01/03/2025,20:10,22:00,"WP18, WP17, WP19, WP16, WP19, WP17, WP9"
105,28/02/2025,08:51,28/02/2025,17:15,08:24,"WP1, WP20, WP17"
106,28/02/2025,02:57,28/02/2025,07:09,04:12,"WP11, WP22"
107,28/02/2025,12:40,28/02/2025,17:28,04:48,WP24
108,28/02/2025,10:39,28/02/2025,18:27,07:48,"WP14, WP14, WP4, WP8, WP22, WP6"
109,28/02/2025,07:23,28/02/2025,13:23,06:00,WP23
110,28/02/2025,08:20,28/02/2025,11:08,02:48,"WP10, WP15"
111,28/02/2025,21:46,01/03/2025,04:58,07:12,"WP20, WP11, WP7"
112,28/02/2025,08:05,28/02/2025,11:29,03:24,"WP3, WP7, WP18"
113,28/02/2025,04:29,28/02/2025,05:05,00:36,WP6
114,28/02/2025,14:34,28/02/2025,15:10,00:36,WP7
115,28/02/2025,21:15,28/02/2025,22:03,00:48,WP5
116,28/02/2025,11:43,28/02/2025,12:31,00:48,WP12
117,28/02/2025,01:42,28/02/2025,02:30,00:48,WP2
118,28/02/2025,23:04,01/03/2025,05:04,06:00,"WP21, WP13"
119,28/02/2025,21:43,28/02/2025,22:19,00:36,WP4
120,28/02/2025,01:01,28/02/2025,04:37,03:36,WP22
