Aicraft (A/C) Serial Number,A/C Landing Date,A/C Landing Time,A/C departure Date,A/C departure Time,Turn Around Time,Work that needs to be carried out
101,25/09/2025,08:38,25/09/2025,16:14,07:36,"WP16, WP23"
102,25/09/2025,19:57,26/09/2025,01:21,05:24,"WP11, WP24"
103,25/09/2025,11:51,25/09/2025,14:03,02:12,"WP18, WP7"
104,25/09/2025,18:12,25/09/2025,21:12,03:00,"WP15, WP6, WP12"
105,25/09/2025,17:33,25/09/2025,19:21,01:48,"WP4, WP14"
106,25/09/2025,04:55,25/09/2025,10:31,05:36,"WP5, WP24"
107,25/09/2025,01:01,25/09/2025,02:13,01:12,WP9
108,25/09/2025,10:27,25/09/2025,17:39,07:12,"WP3, WP23"
109,25/09/2025,14:15,25/09/2025,19:39,05:24,"WP8, WP21"
110,25/09/2025,04:54,25/09/2025,12:42,07:48,"WP19, WP4"
111,25/09/2025,21:47,26/09/2025,23:47,26:00,"WP12, WP14"
112,25/09/2025,03:58,26/09/2025,05:22,25:24,"WP6, WP1"
113,25/09/2025,08:29,26/09/2025,11:05,26:36,"WP14, WP6, WP2"
114,25/09/2025,02:26,26/09/2025,04:14,25:48,"WP10, WP6"
115,25/09/2025,11:25,25/09/2025,14:13,02:48,"WP17, WP9"
116,25/09/2025,00:57,25/09/2025,01:45,00:48,WP5
117,25/09/2025,00:49,25/09/2025,06:13,05:24,"WP24, WP4"
118,25/09/2025,20:22,26/09/2025,03:34,07:12,"WP20, WP3"
119,25/09/2025,02:55,25/09/2025,14:55,12:00,"WP23, WP21, WP13"
120,25/09/2025,15:51,26/09/2025,01:27,09:36,"WP9, WP21, WP22"
