Aircraft (A/C) Serial Number,A/C Landing Date,A/C Landing Time,A/C departure Date,A/C departure Time,Turn Around Time,Work that needs to be carried out
101,21/04/2025,23:33,22/04/2025,11:33,12:00,"WP2, WP23, WP15, WP22"
102,21/04/2025,09:24,21/04/2025,16:36,07:12,"WP20, WP14"
103,21/04/2025,17:51,22/04/2025,01:51,08:00,"WP19, WP2"
104,21/04/2025,10:04,21/04/2025,12:04,02:00,"WP1, WP13"
105,21/04/2025,19:20,21/04/2025,21:32,02:12,"WP7, WP17"
106,21/04/2025,11:27,21/04/2025,13:15,01:48,"WP11, WP14"
107,21/04/2025,12:39,21/04/2025,14:39,02:00,"WP3, WP2"
108,21/04/2025,13:50,22/04/2025,02:38,12:48,"WP24, WP19, WP2"
109,21/04/2025,16:51,21/04/2025,18:27,01:36,WP16
110,21/04/2025,23:07,21/04/2025,23:43,00:36,WP6
111,21/04/2025,07:09,21/04/2025,17:57,10:48,"WP18, WP4, WP5, WP17, WP7, WP17, WP15, WP1, WP15"
112,21/04/2025,13:55,22/04/2025,02:07,12:12,"WP21, WP6, WP12, WP23"
113,21/04/2025,11:29,21/04/2025,12:41,01:12,WP9
114,21/04/2025,09:59,21/04/2025,10:35,00:36,WP4
115,21/04/2025,15:53,21/04/2025,16:29,00:36,WP8
116,21/04/2025,07:27,21/04/2025,09:51,02:24,"WP10, WP14"
117,21/04/2025,02:05,21/04/2025,08:05,06:00,WP23
118,21/04/2025,05:34,21/04/2025,07:58,02:24,"WP13, WP14"
119,21/04/2025,20:57,21/04/2025,21:45,00:48,WP12
120,21/04/2025,11:03,21/04/2025,17:03,06:00,"WP14, WP21"
