Aicraft (A/C) Serial Number,A/C Landing Date,A/C Landing Time,A/C departure Date,A/C departure Time,Turn Around Time,Work that needs to be carried out
101,07/01/2025,08:32,07/01/2025,10:44,02:12,"WP16, WP6"
102,07/01/2025,05:40,07/01/2025,16:28,10:48,"WP20, WP24"
103,07/01/2025,11:02,07/01/2025,19:02,08:00,"WP10, WP1, WP23"
104,07/01/2025,10:23,07/01/2025,17:11,06:48,"WP24, WP5, WP9"
105,07/01/2025,19:49,08/01/2025,01:49,06:00,"WP13, WP21"
106,07/01/2025,02:42,08/01/2025,06:30,27:48,"WP5, WP16, WP7, WP12"
107,07/01/2025,22:47,08/01/2025,00:59,02:12,"WP17, WP8"
108,07/01/2025,21:40,07/01/2025,23:52,02:12,"WP4, WP15"
109,07/01/2025,07:34,07/01/2025,15:34,08:00,"WP8, WP21, WP9, WP12, WP4"
110,07/01/2025,16:32,08/01/2025,20:32,28:00,"WP14, WP2, WP12, WP9"
111,07/01/2025,18:49,08/01/2025,02:01,07:12,"WP1, WP18, WP24"
112,07/01/2025,01:36,08/01/2025,04:00,26:24,"WP18, WP1"
113,07/01/2025,02:17,07/01/2025,10:41,08:24,"WP9, WP19"
114,07/01/2025,12:28,07/01/2025,19:40,07:12,"WP23, WP13"
115,07/01/2025,08:19,07/01/2025,13:55,05:36,"WP22, WP1, WP13"
116,07/01/2025,03:40,08/01/2025,07:40,28:00,"WP3, WP10, WP17"
117,07/01/2025,08:58,08/01/2025,10:22,25:24,"WP11, WP12"
118,07/01/2025,14:59,08/01/2025,17:11,26:12,"WP6, WP16"
119,07/01/2025,14:17,07/01/2025,19:53,05:36,"WP12, WP21"
120,07/01/2025,17:50,08/01/2025,19:02,25:12,WP3
