Aircraft (A/C) Serial Number,A/C Landing Date,A/C Landing Time,A/C departure Date,A/C departure Time,Turn Around Time,Work that needs to be carried out
101,19/11/2025,02:32,19/11/2025,09:56,07:24,"WP23, WP12, WP8"
102,19/11/2025,13:53,20/11/2025,15:41,25:48,"WP9, WP4"
103,19/11/2025,07:21,19/11/2025,09:09,01:48,"WP7, WP13"
104,19/11/2025,15:56,19/11/2025,23:56,08:00,"WP5, WP19"
105,19/11/2025,00:51,19/11/2025,02:51,02:00,"WP10, WP2"
106,19/11/2025,18:34,20/11/2025,21:22,26:48,"WP17, WP9"
107,19/11/2025,16:29,19/11/2025,18:41,02:12,"WP18, WP4"
108,19/11/2025,18:43,19/11/2025,21:31,02:48,"WP15, WP13"
109,19/11/2025,10:08,20/11/2025,11:44,25:36,"WP1, WP2"
110,19/11/2025,04:50,19/11/2025,13:14,08:24,"WP22, WP24"
111,19/11/2025,19:59,20/11/2025,03:47,07:48,"WP11, WP1, WP21, WP16"
112,19/11/2025,04:40,20/11/2025,07:28,26:48,"WP3, WP17"
113,19/11/2025,11:17,19/11/2025,18:41,07:24,"WP8, WP5, WP23"
114,19/11/2025,05:57,19/11/2025,08:09,02:12,"WP16, WP4"
115,19/11/2025,20:57,20/11/2025,04:09,07:12,"WP6, WP9, WP21, WP11"
116,19/11/2025,12:40,20/11/2025,15:04,26:24,"WP14, WP9"
117,19/11/2025,06:47,20/11/2025,08:23,25:36,"WP2, WP5"
118,19/11/2025,21:11,20/11/2025,04:23,07:12,"WP4, WP6, WP14, WP24"
119,19/11/2025,10:07,20/11/2025,12:07,26:00,"WP12, WP9"
120,19/11/2025,09:23,20/11/2025,07:35,22:12,"WP19, WP9, WP10, WP23, WP11, WP20"
