Aicraft (A/C) Serial Number,A/C Landing Date,A/C Landing Time,A/C departure Date,A/C departure Time,Turn Around Time,Work that needs to be carried out
101,05/06/2025,20:44,05/06/2025,23:08,02:24,"WP13, WP3"
102,05/06/2025,08:29,05/06/2025,17:29,09:00,"WP19, WP11, WP9"
103,05/06/2025,09:57,06/06/2025,12:09,26:12,"WP8, WP15"
104,05/06/2025,21:26,06/06/2025,06:38,09:12,"WP22, WP2, WP24"
105,05/06/2025,07:54,06/06/2025,10:06,26:12,"WP6, WP17"
106,05/06/2025,12:11,05/06/2025,19:59,07:48,"WP23, WP11, WP3"
107,05/06/2025,09:24,05/06/2025,11:36,02:12,"WP17, WP8"
108,05/06/2025,01:46,05/06/2025,05:58,04:12,"WP14, WP13, WP4, WP3"
109,05/06/2025,02:09,05/06/2025,09:21,07:12,"WP9, WP20"
110,05/06/2025,03:22,06/06/2025,05:10,25:48,"WP10, WP11"
111,05/06/2025,04:03,05/06/2025,11:03,07:00,"WP18, WP8, WP21"
112,05/06/2025,08:26,05/06/2025,09:38,01:12,"WP4, WP6"
113,05/06/2025,07:07,05/06/2025,18:07,11:00,"WP20, WP7, WP2, WP9, WP12, WP17"
114,05/06/2025,02:04,05/06/2025,10:52,08:48,"WP24, WP9, WP13, WP15"
115,05/06/2025,07:59,05/06/2025,18:11,10:12,"WP2, WP11, WP19, WP17"
116,05/06/2025,15:55,05/06/2025,22:43,06:48,"WP12, WP20"
117,05/06/2025,03:33,05/06/2025,05:45,02:12,"WP1, WP7, WP5"
118,05/06/2025,08:18,05/06/2025,17:18,09:00,"WP21, WP22, WP11"
119,05/06/2025,11:40,06/06/2025,14:04,26:24,"WP16, WP5"
120,05/06/2025,04:28,05/06/2025,11:04,06:36,"WP11, WP21, WP13"
