Aicraft (A/C) Serial Number,A/C Landing Date,A/C Landing Time,A/C departure Date,A/C departure Time,Turn Around Time,Work that needs to be carried out
101,10/05/2025,14:28,11/05/2025,16:28,26:00,"WP9, WP12"
102,10/05/2025,19:17,10/05/2025,23:53,04:36,"WP17, WP1, WP16, WP7"
103,10/05/2025,14:38,11/05/2025,11:02,20:24,"WP14, WP9, WP19, WP24, WP20"
104,10/05/2025,03:30,11/05/2025,06:30,27:00,"WP15, WP5, WP6"
105,10/05/2025,10:25,11/05/2025,12:01,25:36,"WP5, WP2"
106,10/05/2025,14:23,10/05/2025,19:23,05:00,"WP16, WP6, WP9, WP17"
107,10/05/2025,15:36,10/05/2025,22:12,06:36,"WP20, WP8"
108,10/05/2025,00:54,10/05/2025,07:06,06:12,"WP4, WP2, WP21"
109,10/05/2025,18:33,11/05/2025,20:21,25:48,"WP11, WP3"
110,10/05/2025,04:08,11/05/2025,05:32,25:24,"WP8, WP2"
111,10/05/2025,18:54,10/05/2025,21:18,02:24,"WP7, WP10, WP4"
112,10/05/2025,10:15,10/05/2025,15:39,05:24,"WP22, WP9, WP6"
113,10/05/2025,10:50,10/05/2025,21:14,10:24,"WP10, WP19, WP5, WP13"
114,10/05/2025,20:54,10/05/2025,23:18,02:24,"WP2, WP15"
115,10/05/2025,08:01,11/05/2025,10:25,26:24,"WP3, WP13"
116,10/05/2025,04:45,11/05/2025,06:57,26:12,"WP18, WP7"
117,10/05/2025,03:11,10/05/2025,04:47,01:36,WP15
118,10/05/2025,07:18,10/05/2025,17:06,09:48,"WP3, WP21, WP5, WP11, WP16, WP12"
119,10/05/2025,06:37,10/05/2025,21:13,14:36,"WP13, WP8, WP24, WP19, WP5"
120,10/05/2025,12:05,10/05/2025,18:05,06:00,WP23
