Aircraft (A/C) Serial Number,A/C Landing Date,A/C Landing Time,A/C departure Date,A/C departure Time,Turn Around Time,Work that needs to be carried out
101,24/07/2025,19:09,24/07/2025,21:09,02:00,"WP2, WP10"
102,24/07/2025,19:51,24/07/2025,23:03,03:12,"WP17, WP16"
103,24/07/2025,20:54,25/07/2025,14:54,18:00,"WP18, WP21, WP22, WP20, WP12, WP10"
104,24/07/2025,16:14,25/07/2025,01:50,09:36,"WP21, WP24"
105,24/07/2025,14:09,25/07/2025,16:21,26:12,"WP15, WP6"
106,24/07/2025,08:10,25/07/2025,10:34,26:24,"WP14, WP10"
107,24/07/2025,15:21,25/07/2025,17:57,26:36,"WP12, WP11, WP14"
108,24/07/2025,14:57,24/07/2025,22:09,07:12,"WP13, WP21, WP9"
109,24/07/2025,12:26,24/07/2025,16:02,03:36,"WP16, WP3, WP2"
110,24/07/2025,04:41,24/07/2025,17:17,12:36,"WP6, WP3, WP22, WP19"
111,24/07/2025,20:03,24/07/2025,21:51,01:48,"WP11, WP7, WP8"
112,24/07/2025,05:13,24/07/2025,18:01,12:48,"WP1, WP13, WP23, WP21"
113,24/07/2025,14:18,25/07/2025,15:54,25:36,"WP5, WP1"
114,24/07/2025,21:34,25/07/2025,23:46,26:12,"WP4, WP17"
115,24/07/2025,04:41,24/07/2025,13:53,09:12,"WP9, WP2, WP19"
116,24/07/2025,21:41,25/07/2025,01:05,03:24,"WP10, WP16, WP6"
117,24/07/2025,22:16,26/07/2025,01:04,26:48,"WP3, WP17"
118,24/07/2025,00:02,25/07/2025,01:14,25:12,WP14
119,24/07/2025,07:35,24/07/2025,16:11,08:36,"WP11, WP20, WP1, WP7, WP8"
120,24/07/2025,17:00,24/07/2025,22:12,05:12,"WP22, WP16"
