Aicraft (A/C) Serial Number,A/C Landing Date,A/C Landing Time,A/C departure Date,A/C departure Time,Turn Around Time,Work that needs to be carried out
101,14/11/2025,13:09,14/11/2025,17:33,04:24,"WP17, WP16, WP13"
102,14/11/2025,03:47,15/11/2025,07:11,27:24,"WP16, WP14, WP8"
103,14/11/2025,14:27,14/11/2025,21:51,07:24,"WP1, WP11, WP20"
104,14/11/2025,06:55,15/11/2025,09:19,26:24,"WP3, WP13"
105,14/11/2025,15:46,15/11/2025,03:46,12:00,"WP21, WP19"
106,14/11/2025,01:05,15/11/2025,04:41,27:36,"WP9, WP13, WP3"
107,14/11/2025,01:39,15/11/2025,04:51,27:12,"WP5, WP14, WP10"
108,14/11/2025,16:33,14/11/2025,18:09,01:36,WP18
109,14/11/2025,21:31,15/11/2025,22:55,25:24,"WP6, WP12"
110,14/11/2025,04:35,15/11/2025,06:11,25:36,WP15
111,14/11/2025,07:58,14/11/2025,16:10,08:12,"WP23, WP18, WP8"
112,14/11/2025,05:59,15/11/2025,08:23,26:24,"WP7, WP4, WP10"
113,14/11/2025,07:03,14/11/2025,20:51,13:48,"WP10, WP7, WP19, WP24"
114,14/11/2025,09:57,14/11/2025,10:33,00:36,WP11
115,14/11/2025,15:12,15/11/2025,17:48,26:36,"WP4, WP13, WP2"
116,14/11/2025,16:40,14/11/2025,18:40,02:00,"WP12, WP13"
117,14/11/2025,13:49,15/11/2025,16:01,26:12,"WP8, WP16"
118,14/11/2025,04:43,15/11/2025,06:19,25:36,"WP2, WP1"
119,14/11/2025,02:06,14/11/2025,17:42,15:36,"WP13, WP23, WP22, WP24"
120,14/11/2025,11:04,14/11/2025,12:40,01:36,WP15
