Aicraft (A/C) Serial Number,A/C Landing Date,A/C Landing Time,A/C departure Date,A/C departure Time,Turn Around Time,Work that needs to be carried out
101,15/01/2025,07:52,15/01/2025,21:40,13:48,"WP23, WP19, WP11"
102,15/01/2025,21:55,16/01/2025,01:07,03:12,"WP5, WP1, WP16"
103,15/01/2025,10:28,15/01/2025,17:52,07:24,"WP20, WP4, WP2"
104,15/01/2025,18:02,16/01/2025,07:38,13:36,"WP3, WP16, WP20, WP24"
105,15/01/2025,06:34,16/01/2025,07:22,24:48,WP12
106,15/01/2025,20:13,16/01/2025,22:49,26:36,"WP8, WP5, WP13"
107,15/01/2025,04:15,15/01/2025,12:27,08:12,"WP17, WP24, WP6, WP9"
108,15/01/2025,01:00,15/01/2025,03:12,02:12,"WP16, WP8"
109,15/01/2025,15:07,16/01/2025,17:55,26:48,"WP9, WP15"
110,15/01/2025,11:55,15/01/2025,16:07,04:12,"WP22, WP7"
111,15/01/2025,15:44,15/01/2025,19:44,04:00,"WP7, WP9, WP6, WP15"
112,15/01/2025,18:36,16/01/2025,05:24,10:48,"WP6, WP4, WP22, WP20"
113,15/01/2025,18:18,16/01/2025,00:42,06:24,"WP21, WP16"
114,15/01/2025,01:28,15/01/2025,04:16,02:48,"WP2, WP1, WP10"
115,15/01/2025,11:17,16/01/2025,12:29,25:12,"WP11, WP6"
116,15/01/2025,03:25,15/01/2025,06:37,03:12,"WP14, WP9, WP1"
117,15/01/2025,16:39,16/01/2025,18:15,25:36,WP18
118,15/01/2025,15:23,16/01/2025,16:35,25:12,WP10
119,15/01/2025,16:10,15/01/2025,22:34,06:24,"WP17, WP9, WP22"
120,15/01/2025,19:33,15/01/2025,21:57,02:24,"WP1, WP15"
