Aicraft (A/C) Serial Number,A/C Landing Date,A/C Landing Time,A/C departure Date,A/C departure Time,Turn Around Time,Work that needs to be carried out
101,09/06/2025,10:39,10/06/2025,14:27,27:48,"WP15, WP16, WP7"
102,09/06/2025,06:25,10/06/2025,08:25,26:00,"WP14, WP12"
103,09/06/2025,05:10,10/06/2025,07:46,26:36,"WP5, WP10, WP8"
104,09/06/2025,06:47,09/06/2025,14:23,07:36,"WP17, WP20"
105,09/06/2025,00:44,09/06/2025,01:56,01:12,"WP8, WP6"
106,09/06/2025,19:29,10/06/2025,10:05,14:36,"WP23, WP12, WP19, WP6"
107,09/06/2025,00:50,09/06/2025,03:38,02:48,"WP16, WP10"
108,09/06/2025,20:03,10/06/2025,12:51,16:48,"WP10, WP9, WP22, WP21, WP23"
109,09/06/2025,21:46,10/06/2025,22:58,25:12,"WP4, WP7"
110,09/06/2025,21:55,10/06/2025,03:55,06:00,WP20
111,09/06/2025,14:03,09/06/2025,17:39,03:36,"WP9, WP12, WP18"
112,09/06/2025,13:32,10/06/2025,16:20,26:48,"WP13, WP18"
113,09/06/2025,11:27,09/06/2025,13:51,02:24,"WP3, WP14"
114,09/06/2025,15:59,09/06/2025,18:23,02:24,"WP12, WP15"
115,09/06/2025,10:23,09/06/2025,12:11,01:48,"WP6, WP13"
116,09/06/2025,20:46,11/06/2025,00:10,27:24,"WP5, WP11, WP12, WP14"
117,09/06/2025,20:47,09/06/2025,21:35,00:48,WP1
118,09/06/2025,18:30,10/06/2025,08:42,14:12,"WP12, WP24, WP19, WP7, WP2"
119,09/06/2025,14:48,09/06/2025,16:48,02:00,"WP10, WP1"
120,09/06/2025,02:17,09/06/2025,12:29,10:12,"WP3, WP6, WP5, WP23, WP17"
