Aicraft (A/C) Serial Number,A/C Landing Date,A/C Landing Time,A/C departure Date,A/C departure Time,Turn Around Time,Work that needs to be carried out
101,18/12/2025,12:01,19/12/2025,13:49,25:48,"WP9, WP4"
102,18/12/2025,06:54,19/12/2025,09:42,26:48,"WP17, WP3"
103,18/12/2025,22:56,19/12/2025,03:44,04:48,"WP8, WP4, WP22"
104,18/12/2025,09:19,19/12/2025,12:55,27:36,"WP3, WP18, WP5"
105,18/12/2025,22:23,19/12/2025,06:23,08:00,"WP19, WP5"
106,18/12/2025,02:06,18/12/2025,11:18,09:12,"WP2, WP14, WP20, WP9"
107,18/12/2025,08:05,19/12/2025,10:17,26:12,"WP11, WP15"
108,18/12/2025,17:08,19/12/2025,01:08,08:00,"WP5, WP9, WP23"
109,18/12/2025,02:01,19/12/2025,03:49,25:48,"WP13, WP6"
110,18/12/2025,13:07,19/12/2025,15:07,26:00,"WP12, WP10"
111,18/12/2025,22:11,19/12/2025,07:59,09:48,"WP15, WP24, WP13, WP7, WP17"
112,18/12/2025,08:09,18/12/2025,10:21,02:12,"WP18, WP7"
113,18/12/2025,19:10,19/12/2025,01:46,06:36,"WP21, WP13, WP11"
114,18/12/2025,09:04,19/12/2025,01:52,16:48,"WP4, WP20, WP1, WP18, WP19, WP11"
115,18/12/2025,16:25,19/12/2025,17:13,24:48,WP1
116,18/12/2025,02:04,18/12/2025,08:52,06:48,"WP24, WP6, WP12, WP11"
117,18/12/2025,16:52,19/12/2025,19:52,27:00,"WP10, WP13, WP6"
118,18/12/2025,18:04,19/12/2025,18:52,24:48,WP1
119,18/12/2025,02:20,19/12/2025,03:56,25:36,WP16
120,18/12/2025,03:40,18/12/2025,13:28,09:48,"WP12, WP10, WP11, WP19"
