Aicraft (A/C) Serial Number,A/C Landing Date,A/C Landing Time,A/C departure Date,A/C departure Time,Turn Around Time,Work that needs to be carried out
101,20/09/2025,10:14,20/09/2025,12:38,02:24,"WP3, WP13"
102,20/09/2025,00:59,20/09/2025,03:23,02:24,"WP1, WP15"
103,20/09/2025,01:08,20/09/2025,08:32,07:24,"WP2, WP20, WP8"
104,20/09/2025,01:30,20/09/2025,11:06,09:36,"WP22, WP20"
105,20/09/2025,15:54,20/09/2025,22:42,06:48,"WP5, WP20"
106,20/09/2025,08:50,20/09/2025,16:02,07:12,"WP13, WP20"
107,20/09/2025,18:10,21/09/2025,19:58,25:48,"WP7, WP13"
108,20/09/2025,03:36,20/09/2025,07:48,04:12,"WP8, WP22"
109,20/09/2025,22:06,22/09/2025,01:42,27:36,"WP18, WP14, WP1"
110,20/09/2025,05:41,20/09/2025,08:05,02:24,"WP10, WP6, WP4"
111,20/09/2025,14:51,21/09/2025,07:15,16:24,"WP21, WP18, WP2, WP19, WP14, WP5"
112,20/09/2025,15:24,20/09/2025,23:00,07:36,"WP23, WP16"
113,20/09/2025,20:12,21/09/2025,22:12,26:00,"WP6, WP11, WP2"
114,20/09/2025,14:58,20/09/2025,20:22,05:24,"WP24, WP7"
115,20/09/2025,07:43,20/09/2025,15:55,08:12,"WP15, WP23, WP8"
116,20/09/2025,05:23,20/09/2025,07:23,02:00,"WP12, WP14"
117,20/09/2025,02:53,20/09/2025,08:29,05:36,"WP17, WP9, WP16, WP3"
118,20/09/2025,11:19,20/09/2025,15:07,03:48,"WP11, WP16, WP18"
119,20/09/2025,12:03,21/09/2025,12:51,24:48,WP1
120,20/09/2025,12:19,20/09/2025,13:31,01:12,WP10
