Aicraft (A/C) Serial Number,A/C Landing Date,A/C Landing Time,A/C departure Date,A/C departure Time,Turn Around Time,Work that needs to be carried out
101,15/05/2025,18:39,16/05/2025,02:39,08:00,"WP5, WP20, WP10"
102,15/05/2025,04:59,15/05/2025,11:47,06:48,"WP2, WP20"
103,15/05/2025,16:38,16/05/2025,19:50,27:12,"WP16, WP18"
104,15/05/2025,15:19,16/05/2025,08:07,16:48,"WP19, WP24, WP9, WP22"
105,15/05/2025,18:02,15/05/2025,22:02,04:00,"WP9, WP18, WP14"
106,15/05/2025,04:09,15/05/2025,12:33,08:24,"WP20, WP5, WP15"
107,15/05/2025,16:24,15/05/2025,23:00,06:36,"WP24, WP9, WP4"
108,15/05/2025,01:02,16/05/2025,02:14,25:12,WP13
109,15/05/2025,01:21,15/05/2025,03:45,02:24,"WP12, WP17"
110,15/05/2025,16:33,15/05/2025,23:45,07:12,"WP11, WP20, WP4"
111,15/05/2025,13:53,16/05/2025,15:05,25:12,WP14
112,15/05/2025,12:04,15/05/2025,13:52,01:48,"WP8, WP10"
113,15/05/2025,15:12,15/05/2025,22:48,07:36,"WP17, WP21, WP6, WP4"
114,15/05/2025,15:29,16/05/2025,02:53,11:24,"WP23, WP10, WP22, WP6"
115,15/05/2025,05:18,16/05/2025,07:18,26:00,"WP6, WP1, WP7"
116,15/05/2025,10:16,15/05/2025,13:04,02:48,"WP18, WP13"
117,15/05/2025,14:01,15/05/2025,17:01,03:00,"WP10, WP4, WP14"
118,15/05/2025,03:35,15/05/2025,11:23,07:48,"WP4, WP19"
119,15/05/2025,03:19,16/05/2025,06:07,26:48,"WP3, WP16"
120,15/05/2025,22:15,17/05/2025,00:39,26:24,"WP15, WP5"
