Aicraft (A/C) Serial Number,A/C Landing Date,A/C Landing Time,A/C departure Date,A/C departure Time,Turn Around Time,Work that needs to be carried out
101,22/01/2025,12:12,23/01/2025,00:00,11:48,"WP9, WP7, WP19, WP10, WP18"
102,22/01/2025,02:09,22/01/2025,04:57,02:48,"WP15, WP7, WP11"
103,22/01/2025,00:22,22/01/2025,05:46,05:24,"WP22, WP4, WP3"
104,22/01/2025,14:24,22/01/2025,19:48,05:24,"WP21, WP6"
105,22/01/2025,02:14,22/01/2025,08:50,06:36,"WP23, WP4"
106,22/01/2025,04:13,22/01/2025,07:25,03:12,"WP12, WP3, WP13"
107,22/01/2025,15:05,23/01/2025,17:17,26:12,"WP17, WP11"
108,22/01/2025,07:41,23/01/2025,08:53,25:12,"WP11, WP4"
109,22/01/2025,04:30,23/01/2025,05:06,24:36,WP8
110,22/01/2025,11:29,22/01/2025,13:29,02:00,"WP13, WP2"
111,22/01/2025,15:23,22/01/2025,17:35,02:12,"WP18, WP6"
112,22/01/2025,00:35,23/01/2025,02:23,25:48,"WP14, WP4"
113,22/01/2025,00:50,22/01/2025,08:38,07:48,"WP19, WP4"
114,22/01/2025,04:20,22/01/2025,14:08,09:48,"WP5, WP10, WP8, WP1, WP24, WP15"
115,22/01/2025,12:51,22/01/2025,18:15,05:24,"WP24, WP11"
116,22/01/2025,05:45,23/01/2025,08:09,26:24,"WP10, WP9"
117,22/01/2025,08:59,22/01/2025,15:35,06:36,"WP7, WP23"
118,22/01/2025,20:31,23/01/2025,02:19,05:48,"WP16, WP4, WP22"
119,22/01/2025,20:46,23/01/2025,13:22,16:36,"WP20, WP19, WP10, WP11, WP16"
120,22/01/2025,12:12,22/01/2025,13:36,01:24,"WP1, WP8"
