Aicraft (A/C) Serial Number,A/C Landing Date,A/C Landing Time,A/C departure Date,A/C departure Time,Turn Around Time,Work that needs to be carried out
101,10/11/2025,19:45,11/11/2025,23:45,28:00,"WP1, WP16, WP12, WP2"
102,10/11/2025,05:45,10/11/2025,07:33,01:48,"WP10, WP7"
103,10/11/2025,09:49,10/11/2025,12:49,03:00,"WP6, WP13, WP9"
104,10/11/2025,13:17,10/11/2025,18:41,05:24,"WP24, WP11"
105,10/11/2025,08:14,10/11/2025,14:14,06:00,"WP22, WP12, WP16"
106,10/11/2025,13:28,10/11/2025,21:04,07:36,"WP12, WP23, WP1"
107,10/11/2025,19:07,11/11/2025,04:43,09:36,"WP21, WP13, WP22"
108,10/11/2025,02:16,11/11/2025,04:04,25:48,"WP4, WP13"
109,10/11/2025,03:14,11/11/2025,06:26,27:12,"WP18, WP17"
110,10/11/2025,05:16,10/11/2025,09:52,04:36,"WP9, WP4, WP14, WP16"
111,10/11/2025,05:46,10/11/2025,15:46,10:00,"WP19, WP10, WP18"
112,10/11/2025,07:51,10/11/2025,10:39,02:48,"WP15, WP3"
113,10/11/2025,18:05,10/11/2025,19:29,01:24,"WP2, WP8"
114,10/11/2025,10:52,11/11/2025,13:04,26:12,"WP7, WP16"
115,10/11/2025,10:19,11/11/2025,11:43,25:24,"WP8, WP5"
116,10/11/2025,00:34,10/11/2025,09:22,08:48,"WP16, WP19"
117,10/11/2025,13:11,11/11/2025,15:59,26:48,"WP3, WP18"
118,10/11/2025,00:12,10/11/2025,05:00,04:48,"WP17, WP16, WP15"
119,10/11/2025,12:31,11/11/2025,02:31,14:00,"WP20, WP19, WP12"
120,10/11/2025,21:00,11/11/2025,06:24,09:24,"WP23, WP11, WP17, WP13"
