Aicraft (A/C) Serial Number,A/C Landing Date,A/C Landing Time,A/C departure Date,A/C departure Time,Turn Around Time,Work that needs to be carried out
101,11/03/2025,05:41,11/03/2025,06:53,01:12,WP3
102,11/03/2025,14:26,12/03/2025,15:02,24:36,WP6
103,11/03/2025,13:59,11/03/2025,20:23,06:24,"WP24, WP15"
104,11/03/2025,17:32,12/03/2025,01:08,07:36,"WP23, WP16"
105,11/03/2025,19:51,12/03/2025,22:03,26:12,"WP17, WP11"
106,11/03/2025,22:01,12/03/2025,04:37,06:36,"WP7, WP20"
107,11/03/2025,01:23,12/03/2025,03:47,26:24,"WP9, WP13"
108,11/03/2025,15:50,12/03/2025,04:14,12:24,"WP15, WP23, WP21"
109,11/03/2025,19:24,11/03/2025,22:24,03:00,"WP4, WP18, WP5"
110,11/03/2025,04:30,11/03/2025,08:30,04:00,"WP14, WP17, WP9"
111,11/03/2025,14:40,12/03/2025,05:52,15:12,"WP19, WP2, WP4, WP7, WP20"
112,11/03/2025,01:30,12/03/2025,04:18,26:48,"WP13, WP15"
113,11/03/2025,04:30,11/03/2025,07:18,02:48,"WP10, WP16"
114,11/03/2025,05:11,11/03/2025,10:35,05:24,"WP8, WP21"
115,11/03/2025,09:42,11/03/2025,15:18,05:36,"WP22, WP3, WP5"
116,11/03/2025,10:49,11/03/2025,16:25,05:36,"WP2, WP22, WP10"
117,11/03/2025,00:23,12/03/2025,03:47,27:24,"WP16, WP4, WP14"
118,11/03/2025,11:29,11/03/2025,19:53,08:24,"WP18, WP23, WP5"
119,11/03/2025,17:16,11/03/2025,21:40,04:24,"WP1, WP5, WP9, WP15"
120,11/03/2025,09:15,11/03/2025,16:03,06:48,"WP12, WP14, WP24"
