Aicraft (A/C) Serial Number,A/C Landing Date,A/C Landing Time,A/C departure Date,A/C departure Time,Turn Around Time,Work that needs to be carried out
101,16/05/2025,16:40,16/05/2025,22:04,05:24,"WP6, WP21"
102,16/05/2025,02:29,16/05/2025,03:53,01:24,"WP1, WP7"
103,16/05/2025,11:10,16/05/2025,13:34,02:24,"WP10, WP9"
104,16/05/2025,22:01,18/05/2025,00:13,26:12,"WP16, WP7"
105,16/05/2025,12:59,16/05/2025,14:11,01:12,"WP8, WP7"
106,16/05/2025,11:14,17/05/2025,04:50,17:36,"WP7, WP1, WP22, WP4, WP23, WP24, WP3"
107,16/05/2025,08:33,17/05/2025,09:57,25:24,"WP5, WP8"
108,16/05/2025,02:34,16/05/2025,04:10,01:36,"WP2, WP12"
109,16/05/2025,09:15,17/05/2025,11:03,25:48,"WP13, WP6"
110,16/05/2025,11:49,16/05/2025,14:13,02:24,"WP14, WP10"
111,16/05/2025,09:37,16/05/2025,22:49,13:12,"WP23, WP19"
112,16/05/2025,06:38,16/05/2025,16:50,10:12,"WP22, WP11, WP20"
113,16/05/2025,20:35,16/05/2025,22:23,01:48,"WP4, WP11, WP7"
114,16/05/2025,03:41,16/05/2025,14:05,10:24,"WP15, WP17, WP24, WP2, WP18"
115,16/05/2025,12:19,16/05/2025,16:19,04:00,"WP17, WP3, WP9"
116,16/05/2025,17:02,17/05/2025,19:02,26:00,"WP3, WP5"
117,16/05/2025,14:03,17/05/2025,17:27,27:24,"WP11, WP1, WP3, WP2"
118,16/05/2025,06:24,16/05/2025,07:00,00:36,WP11
119,16/05/2025,16:32,16/05/2025,18:32,02:00,"WP1, WP3"
120,16/05/2025,19:04,17/05/2025,01:40,06:36,"WP4, WP21, WP9"
