Aicraft (A/C) Serial Number,A/C Landing Date,A/C Landing Time,A/C departure Date,A/C departure Time,Turn Around Time,Work that needs to be carried out
101,16/10/2025,04:52,16/10/2025,06:52,02:00,"WP12, WP3"
102,16/10/2025,15:32,17/10/2025,05:08,13:36,"WP17, WP23, WP9, WP24"
103,16/10/2025,01:42,16/10/2025,04:30,02:48,"WP15, WP14"
104,16/10/2025,20:16,17/10/2025,23:52,27:36,"WP5, WP14, WP18"
105,16/10/2025,11:14,16/10/2025,16:02,04:48,"WP22, WP9"
106,16/10/2025,07:06,17/10/2025,07:54,24:48,WP1
107,16/10/2025,11:56,16/10/2025,17:20,05:24,"WP24, WP7"
108,16/10/2025,00:06,16/10/2025,06:30,06:24,"WP18, WP21"
109,16/10/2025,12:07,17/10/2025,14:19,26:12,"WP4, WP17"
110,16/10/2025,06:51,17/10/2025,10:15,27:24,"WP9, WP15, WP8"
111,16/10/2025,22:18,17/10/2025,10:54,12:36,"WP11, WP24, WP19"
112,16/10/2025,22:05,17/10/2025,23:29,25:24,"WP2, WP6"
113,16/10/2025,06:28,17/10/2025,07:04,24:36,WP8
114,16/10/2025,22:12,17/10/2025,06:12,08:00,"WP16, WP18, WP21"
115,16/10/2025,22:02,17/10/2025,00:26,02:24,"WP14, WP10"
116,16/10/2025,18:34,17/10/2025,20:34,26:00,"WP3, WP1"
117,16/10/2025,14:26,17/10/2025,07:50,17:24,"WP13, WP6, WP23, WP2, WP20, WP3, WP17"
118,16/10/2025,07:41,17/10/2025,11:17,27:36,"WP3, WP18, WP12"
119,16/10/2025,00:42,17/10/2025,01:18,24:36,WP4
120,16/10/2025,22:17,17/10/2025,05:29,07:12,WP19
