Aicraft (A/C) Serial Number,A/C Landing Date,A/C Landing Time,A/C departure Date,A/C departure Time,Turn Around Time,Work that needs to be carried out
101,03/12/2025,12:51,03/12/2025,21:39,08:48,"WP16, WP20, WP9"
102,03/12/2025,21:45,05/12/2025,00:09,26:24,"WP18, WP1"
103,03/12/2025,17:27,04/12/2025,20:51,27:24,"WP1, WP10, WP8, WP5"
104,03/12/2025,06:01,03/12/2025,07:49,01:48,"WP7, WP4, WP11"
105,03/12/2025,07:17,03/12/2025,18:53,11:36,"WP19, WP22, WP12"
106,03/12/2025,00:00,04/12/2025,01:48,25:48,"WP6, WP3"
107,03/12/2025,19:42,03/12/2025,21:06,01:24,"WP5, WP8"
108,03/12/2025,04:13,04/12/2025,06:37,26:24,"WP15, WP2"
109,03/12/2025,21:58,04/12/2025,03:34,05:36,"WP2, WP21"
110,03/12/2025,09:00,03/12/2025,10:48,01:48,"WP9, WP6"
111,03/12/2025,11:16,04/12/2025,03:04,15:48,"WP14, WP4, WP19, WP23, WP2"
112,03/12/2025,02:47,03/12/2025,05:35,02:48,"WP3, WP17"
113,03/12/2025,22:41,04/12/2025,05:29,06:48,"WP12, WP23"
114,03/12/2025,05:51,03/12/2025,14:39,08:48,"WP17, WP19"
115,03/12/2025,12:01,04/12/2025,03:13,15:12,"WP21, WP11, WP4, WP13, WP5, WP19"
116,03/12/2025,03:27,03/12/2025,08:51,05:24,"WP24, WP6"
117,03/12/2025,16:45,03/12/2025,20:21,03:36,WP22
118,03/12/2025,03:54,04/12/2025,04:30,24:36,WP7
119,03/12/2025,20:04,04/12/2025,20:40,24:36,WP11
120,03/12/2025,21:37,04/12/2025,22:13,24:36,WP4
