Aicraft (A/C) Serial Number,A/C Landing Date,A/C Landing Time,A/C departure Date,A/C departure Time,Turn Around Time,Work that needs to be carried out
101,27/08/2025,00:27,28/08/2025,01:51,25:24,"WP12, WP6"
102,27/08/2025,02:45,27/08/2025,04:33,01:48,"WP9, WP11"
103,27/08/2025,00:27,27/08/2025,16:03,15:36,"WP16, WP23, WP6, WP4, WP21, WP7, WP1, WP8"
104,27/08/2025,09:08,27/08/2025,17:08,08:00,"WP3, WP12, WP20"
105,27/08/2025,09:55,28/08/2025,12:07,26:12,"WP17, WP4"
106,27/08/2025,09:04,27/08/2025,11:28,02:24,"WP15, WP12"
107,27/08/2025,22:44,28/08/2025,08:08,09:24,"WP4, WP13, WP9, WP5, WP12, WP22, WP3"
108,27/08/2025,00:45,27/08/2025,09:45,09:00,"WP5, WP21, WP6, WP7, WP17, WP11"
109,27/08/2025,14:01,28/08/2025,07:01,17:00,"WP7, WP24, WP9, WP19, WP18, WP15"
110,27/08/2025,03:46,28/08/2025,07:22,27:36,"WP14, WP17, WP12"
111,27/08/2025,16:13,27/08/2025,18:49,02:36,"WP11, WP12, WP13"
112,27/08/2025,05:28,27/08/2025,07:16,01:48,"WP10, WP4"
113,27/08/2025,01:02,27/08/2025,02:14,01:12,"WP6, WP4"
114,27/08/2025,07:56,27/08/2025,15:32,07:36,"WP24, WP17, WP9"
115,27/08/2025,00:30,27/08/2025,08:18,07:48,"WP8, WP23, WP10"
116,27/08/2025,17:58,28/08/2025,00:46,06:48,"WP2, WP21, WP10"
117,27/08/2025,14:21,27/08/2025,17:21,03:00,"WP13, WP3, WP8"
118,27/08/2025,05:32,28/08/2025,07:32,26:00,"WP9, WP2"
119,27/08/2025,04:27,27/08/2025,06:51,02:24,"WP15, WP2"
120,27/08/2025,00:28,27/08/2025,02:04,01:36,WP15
