Aicraft (A/C) Serial Number,A/C Landing Date,A/C Landing Time,A/C departure Date,A/C departure Time,Turn Around Time,Work that needs to be carried out
101,09/10/2025,08:40,10/10/2025,11:40,27:00,"WP4, WP12, WP16"
102,09/10/2025,09:26,10/10/2025,13:14,27:48,"WP17, WP8, WP16"
103,09/10/2025,06:44,10/10/2025,08:56,26:12,"WP6, WP17"
104,09/10/2025,10:35,10/10/2025,01:23,14:48,"WP23, WP17, WP19"
105,09/10/2025,20:55,10/10/2025,03:19,06:24,"WP10, WP22, WP16"
106,09/10/2025,01:57,09/10/2025,04:09,02:12,"WP16, WP8"
107,09/10/2025,12:40,10/10/2025,16:04,27:24,"WP7, WP10, WP17"
108,09/10/2025,10:21,09/10/2025,17:57,07:36,"WP15, WP23"
109,09/10/2025,13:03,10/10/2025,14:27,25:24,"WP1, WP8"
110,09/10/2025,02:19,09/10/2025,08:19,06:00,"WP24, WP14"
111,09/10/2025,04:47,09/10/2025,07:11,02:24,"WP3, WP13"
112,09/10/2025,17:56,09/10/2025,19:56,02:00,"WP5, WP10"
113,09/10/2025,10:57,09/10/2025,17:57,07:00,"WP12, WP21, WP6, WP1"
114,09/10/2025,04:18,09/10/2025,07:30,03:12,"WP14, WP13, WP12"
115,09/10/2025,20:50,09/10/2025,23:02,02:12,"WP18, WP4"
116,09/10/2025,19:02,10/10/2025,04:02,09:00,"WP2, WP23, WP4, WP18"
117,09/10/2025,03:00,09/10/2025,07:48,04:48,"WP22, WP14"
118,09/10/2025,17:08,09/10/2025,23:56,06:48,"WP20, WP12"
119,09/10/2025,11:25,09/10/2025,20:37,09:12,"WP11, WP7, WP2, WP19"
120,09/10/2025,21:38,10/10/2025,04:14,06:36,"WP9, WP7, WP24"
