Aicraft (A/C) Serial Number,A/C Landing Date,A/C Landing Time,A/C departure Date,A/C departure Time,Turn Around Time,Work that needs to be carried out
101,20/06/2025,19:44,21/06/2025,01:20,05:36,"WP5, WP24"
102,20/06/2025,07:44,20/06/2025,15:32,07:48,"WP12, WP4, WP18, WP24"
103,20/06/2025,15:39,20/06/2025,17:27,01:48,"WP14, WP4"
104,20/06/2025,08:52,21/06/2025,10:40,25:48,"WP9, WP6"
105,20/06/2025,13:07,20/06/2025,20:43,07:36,"WP16, WP23"
106,20/06/2025,18:38,21/06/2025,08:14,13:36,"WP21, WP19, WP18"
107,20/06/2025,01:01,20/06/2025,03:13,02:12,"WP7, WP16"
108,20/06/2025,21:44,21/06/2025,02:08,04:24,"WP22, WP5"
109,20/06/2025,11:28,21/06/2025,14:28,27:00,"WP4, WP18, WP2"
110,20/06/2025,12:38,20/06/2025,14:26,01:48,"WP3, WP6"
111,20/06/2025,13:23,20/06/2025,20:35,07:12,"WP11, WP8, WP23"
112,20/06/2025,22:22,21/06/2025,10:10,11:48,"WP15, WP22, WP10, WP21, WP11"
113,20/06/2025,21:25,20/06/2025,23:25,02:00,"WP13, WP12"
114,20/06/2025,20:05,21/06/2025,05:17,09:12,"WP23, WP17, WP16"
115,20/06/2025,17:36,20/06/2025,19:48,02:12,"WP1, WP5, WP6"
116,20/06/2025,13:45,20/06/2025,15:57,02:12,"WP18, WP4"
117,20/06/2025,15:46,20/06/2025,21:46,06:00,WP20
118,20/06/2025,06:21,20/06/2025,07:45,01:24,"WP1, WP7"
119,20/06/2025,05:59,20/06/2025,13:47,07:48,"WP19, WP4"
120,20/06/2025,04:48,21/06/2025,05:36,24:48,WP12
