Aicraft (A/C) Serial Number,A/C Landing Date,A/C Landing Time,A/C departure Date,A/C departure Time,Turn Around Time,Work that needs to be carried out
101,13/04/2025,12:21,13/04/2025,14:09,01:48,"WP11, WP9"
102,13/04/2025,07:54,14/04/2025,09:18,25:24,"WP1, WP7"
103,13/04/2025,15:18,13/04/2025,17:42,02:24,"WP10, WP3"
104,13/04/2025,15:38,13/04/2025,23:14,07:36,"WP18, WP23"
105,13/04/2025,14:20,13/04/2025,21:08,06:48,"WP21, WP12, WP14"
106,13/04/2025,05:30,14/04/2025,07:18,25:48,"WP13, WP6"
107,13/04/2025,04:09,13/04/2025,06:33,02:24,"WP2, WP17"
108,13/04/2025,06:38,13/04/2025,12:38,06:00,"WP8, WP22, WP13, WP4"
109,13/04/2025,20:53,15/04/2025,00:17,27:24,"WP6, WP11, WP17, WP7"
110,13/04/2025,04:04,13/04/2025,08:04,04:00,"WP17, WP6, WP10, WP11"
111,13/04/2025,06:48,13/04/2025,16:00,09:12,"WP12, WP22, WP24"
112,13/04/2025,08:30,14/04/2025,10:18,25:48,"WP9, WP8"
113,13/04/2025,07:30,13/04/2025,08:54,01:24,"WP5, WP6"
114,13/04/2025,19:19,14/04/2025,21:43,26:24,"WP15, WP2"
115,13/04/2025,21:22,14/04/2025,06:22,09:00,"WP19, WP6, WP10"
116,13/04/2025,14:21,13/04/2025,16:33,02:12,"WP4, WP15"
117,13/04/2025,18:40,14/04/2025,06:40,12:00,"WP3, WP9, WP5, WP19, WP18"
118,13/04/2025,11:39,14/04/2025,14:39,27:00,"WP14, WP11, WP10"
119,13/04/2025,01:58,13/04/2025,11:34,09:36,"WP20, WP22"
120,13/04/2025,18:41,14/04/2025,21:05,26:24,"WP16, WP2"
