Aicraft (A/C) Serial Number,A/C Landing Date,A/C Landing Time,A/C departure Date,A/C departure Time,Turn Around Time,Work that needs to be carried out
101,02/04/2025,10:49,03/04/2025,12:37,25:48,"WP3, WP11"
102,02/04/2025,17:26,02/04/2025,20:14,02:48,"WP17, WP13"
103,02/04/2025,13:37,02/04/2025,16:01,02:24,"WP10, WP9"
104,02/04/2025,08:29,02/04/2025,16:53,08:24,"WP12, WP23, WP17"
105,02/04/2025,06:56,03/04/2025,08:20,25:24,"WP6, WP5"
106,02/04/2025,01:51,03/04/2025,04:03,26:12,"WP11, WP17"
107,02/04/2025,01:32,02/04/2025,09:08,07:36,"WP23, WP18"
108,02/04/2025,19:14,03/04/2025,22:02,26:48,"WP8, WP15, WP11"
109,02/04/2025,05:51,02/04/2025,21:15,15:24,"WP7, WP22, WP21, WP10, WP11, WP9, WP13, WP6, WP16"
110,02/04/2025,13:43,03/04/2025,16:19,26:36,"WP14, WP11, WP2"
111,02/04/2025,00:57,02/04/2025,10:57,10:00,"WP5, WP1, WP13, WP19"
112,02/04/2025,18:38,03/04/2025,03:02,08:24,"WP19, WP10"
113,02/04/2025,07:18,02/04/2025,14:18,07:00,"WP22, WP18, WP7, WP10"
114,02/04/2025,01:48,02/04/2025,09:48,08:00,"WP20, WP12, WP3"
115,02/04/2025,20:01,03/04/2025,02:25,06:24,"WP16, WP24"
116,02/04/2025,02:33,03/04/2025,04:45,26:12,"WP15, WP8"
117,02/04/2025,02:01,02/04/2025,11:49,09:48,"WP9, WP21, WP16, WP4, WP18"
118,02/04/2025,18:43,03/04/2025,22:19,27:36,WP22
119,02/04/2025,13:53,02/04/2025,15:05,01:12,WP9
120,02/04/2025,22:19,03/04/2025,05:19,07:00,"WP11, WP16, WP21"
