Aicraft (A/C) Serial Number,A/C Landing Date,A/C Landing Time,A/C departure Date,A/C departure Time,Turn Around Time,Work that needs to be carried out
101,13/10/2025,05:58,14/10/2025,01:34,19:36,"WP20, WP13, WP24, WP23, WP18"
102,13/10/2025,15:45,13/10/2025,19:57,04:12,"WP17, WP12, WP6, WP9"
103,13/10/2025,10:57,13/10/2025,21:45,10:48,"WP1, WP12, WP24, WP17, WP14, WP16"
104,13/10/2025,00:29,13/10/2025,03:41,03:12,"WP6, WP10, WP7, WP2"
105,13/10/2025,17:55,14/10/2025,20:43,26:48,"WP9, WP16"
106,13/10/2025,12:23,13/10/2025,20:23,08:00,"WP2, WP19"
107,13/10/2025,00:23,13/10/2025,03:47,03:24,"WP4, WP13, WP16"
108,13/10/2025,02:05,13/10/2025,16:29,14:24,"WP10, WP20, WP19"
109,13/10/2025,11:28,13/10/2025,13:40,02:12,"WP11, WP18"
110,13/10/2025,14:24,13/10/2025,18:12,03:48,"WP12, WP1, WP15, WP7"
111,13/10/2025,15:01,13/10/2025,16:37,01:36,"WP5, WP1"
112,13/10/2025,01:13,13/10/2025,02:25,01:12,WP14
113,13/10/2025,05:38,13/10/2025,08:02,02:24,"WP18, WP12"
114,13/10/2025,02:13,13/10/2025,07:37,05:24,"WP8, WP21"
115,13/10/2025,09:53,13/10/2025,10:29,00:36,WP8
116,13/10/2025,17:41,13/10/2025,18:53,01:12,WP3
117,13/10/2025,18:51,14/10/2025,20:03,25:12,"WP6, WP11"
118,13/10/2025,20:14,14/10/2025,21:50,25:36,"WP1, WP12"
119,13/10/2025,05:47,13/10/2025,15:23,09:36,"WP8, WP21, WP7, WP22"
120,13/10/2025,00:05,13/10/2025,01:29,01:24,"WP11, WP5"
