Aircraft (A/C) Serial Number,A/C Landing Date,A/C Landing Time,A/C departure Date,A/C departure Time,Turn Around Time,Work that needs to be carried out
101,18/09/2025,22:01,19/09/2025,04:49,06:48,"WP12, WP20"
102,18/09/2025,00:20,18/09/2025,03:32,03:12,"WP16, WP15"
103,18/09/2025,16:47,18/09/2025,18:11,01:24,"WP6, WP2"
104,18/09/2025,00:04,18/09/2025,00:40,00:36,WP11
105,18/09/2025,15:42,19/09/2025,01:42,10:00,"WP14, WP1, WP14, WP12, WP20"
106,18/09/2025,04:24,18/09/2025,17:00,12:36,"WP19, WP8, WP9, WP9, WP11, WP9, WP6"
107,18/09/2025,17:48,18/09/2025,19:00,01:12,WP13
108,18/09/2025,02:48,18/09/2025,03:24,00:36,WP7
109,18/09/2025,02:25,18/09/2025,10:01,07:36,"WP18, WP23"
110,18/09/2025,00:44,18/09/2025,06:44,06:00,WP20
111,18/09/2025,05:49,18/09/2025,15:25,09:36,"WP17, WP5, WP20, WP3"
112,18/09/2025,13:45,18/09/2025,16:09,02:24,"WP5, WP16"
113,18/09/2025,06:46,18/09/2025,08:22,01:36,WP15
114,18/09/2025,15:16,18/09/2025,17:04,01:48,"WP3, WP4"
115,18/09/2025,21:14,19/09/2025,12:14,15:00,"WP24, WP23, WP22, WP11"
116,18/09/2025,13:38,18/09/2025,14:26,00:48,WP2
117,18/09/2025,21:06,19/09/2025,03:06,06:00,WP23
118,18/09/2025,14:10,18/09/2025,17:46,03:36,WP22
119,18/09/2025,23:08,19/09/2025,11:32,12:24,"WP21, WP15, WP20"
120,18/09/2025,09:25,18/09/2025,13:25,04:00,"WP10, WP9, WP16"
