Aicraft (A/C) Serial Number,A/C Landing Date,A/C Landing Time,A/C departure Date,A/C departure Time,Turn Around Time,Work that needs to be carried out
101,08/04/2025,04:49,08/04/2025,11:37,06:48,"WP3, WP2, WP21"
102,08/04/2025,03:30,08/04/2025,13:54,10:24,"WP12, WP14, WP19, WP10"
103,08/04/2025,04:47,09/04/2025,05:35,24:48,WP2
104,08/04/2025,18:04,09/04/2025,20:04,26:00,"WP13, WP5"
105,08/04/2025,20:47,09/04/2025,22:11,25:24,"WP6, WP1"
106,08/04/2025,07:26,08/04/2025,09:14,01:48,"WP11, WP14"
107,08/04/2025,12:51,08/04/2025,15:03,02:12,"WP15, WP7"
108,08/04/2025,01:26,08/04/2025,09:26,08:00,"WP24, WP17, WP18"
109,08/04/2025,10:19,08/04/2025,17:31,07:12,"WP18, WP21, WP1"
110,08/04/2025,16:04,09/04/2025,18:28,26:24,"WP14, WP9"
111,08/04/2025,03:57,08/04/2025,07:21,03:24,"WP4, WP10, WP17"
112,08/04/2025,16:38,09/04/2025,10:38,18:00,"WP21, WP19, WP23"
113,08/04/2025,22:52,09/04/2025,07:04,08:12,"WP5, WP3, WP24, WP12, WP4"
114,08/04/2025,08:33,08/04/2025,13:21,04:48,"WP10, WP22"
115,08/04/2025,17:23,09/04/2025,04:11,10:48,"WP1, WP20, WP17, WP11, WP4, WP3"
116,08/04/2025,12:40,09/04/2025,16:40,28:00,"WP9, WP13, WP16"
117,08/04/2025,13:18,09/04/2025,04:54,15:36,"WP22, WP24, WP21, WP17, WP5"
118,08/04/2025,16:48,09/04/2025,18:00,25:12,"WP8, WP7"
119,08/04/2025,17:41,08/04/2025,18:53,01:12,WP9
120,08/04/2025,19:45,08/04/2025,20:33,00:48,WP12
