Aircraft (A/C) Serial Number,A/C Landing Date,A/C Landing Time,A/C departure Date,A/C departure Time,Turn Around Time,Work that needs to be carried out
101,15/11/2025,11:35,15/11/2025,18:11,06:36,"WP8, WP3, WP21"
102,15/11/2025,10:54,15/11/2025,18:54,08:00,"WP5, WP19"
103,15/11/2025,05:29,15/11/2025,07:41,02:12,"WP2, WP11, WP2"
104,15/11/2025,21:24,16/11/2025,03:24,06:00,WP23
105,15/11/2025,17:40,15/11/2025,18:16,00:36,WP7
106,15/11/2025,18:29,16/11/2025,04:05,09:36,"WP21, WP13, WP14, WP18, WP5"
107,15/11/2025,05:26,15/11/2025,08:38,03:12,"WP13, WP12, WP9"
108,15/11/2025,05:25,15/11/2025,15:01,09:36,"WP9, WP9, WP19"
109,15/11/2025,16:37,15/11/2025,21:25,04:48,WP24
110,15/11/2025,07:12,15/11/2025,09:24,02:12,"WP16, WP8"
111,15/11/2025,11:20,15/11/2025,12:56,01:36,WP17
112,15/11/2025,05:27,15/11/2025,14:15,08:48,"WP20, WP9, WP17"
113,15/11/2025,05:04,15/11/2025,16:28,11:24,"WP4, WP21, WP21, WP14"
114,15/11/2025,13:41,15/11/2025,18:41,05:00,"WP3, WP18, WP6, WP15"
115,15/11/2025,13:48,15/11/2025,15:24,01:36,WP15
116,15/11/2025,04:33,15/11/2025,05:09,00:36,WP11
117,15/11/2025,02:20,15/11/2025,05:56,03:36,WP22
118,15/11/2025,16:17,15/11/2025,17:29,01:12,WP10
119,15/11/2025,06:09,15/11/2025,14:21,08:12,"WP14, WP8, WP5, WP5, WP24"
120,15/11/2025,15:41,16/11/2025,01:53,10:12,"WP19, WP1, WP5, WP5, WP8"
