Aicraft (A/C) Serial Number,A/C Landing Date,A/C Landing Time,A/C departure Date,A/C departure Time,Turn Around Time,Work that needs to be carried out
101,02/04/2025,15:21,03/04/2025,19:21,28:00,"WP17, WP2, WP15"
102,02/04/2025,07:23,02/04/2025,18:35,11:12,"WP5, WP2, WP16, WP1, WP19"
103,02/04/2025,05:01,02/04/2025,13:01,08:00,"WP1, WP19"
104,02/04/2025,07:15,02/04/2025,18:39,11:24,"WP21, WP6, WP20"
105,02/04/2025,01:46,02/04/2025,14:58,13:12,"WP22, WP7, WP19, WP14, WP8"
106,02/04/2025,00:13,03/04/2025,02:13,26:00,"WP10, WP2"
107,02/04/2025,17:31,03/04/2025,00:07,06:36,"WP20, WP6"
108,02/04/2025,22:13,03/04/2025,05:25,07:12,"WP23, WP7, WP4"
109,02/04/2025,11:32,02/04/2025,14:32,03:00,"WP9, WP10, WP8"
110,02/04/2025,08:22,02/04/2025,19:58,11:36,"WP12, WP24, WP20"
111,02/04/2025,08:04,02/04/2025,09:52,01:48,"WP4, WP14"
112,02/04/2025,03:01,03/04/2025,05:25,26:24,"WP2, WP15"
113,02/04/2025,15:29,03/04/2025,17:17,25:48,"WP13, WP8"
114,02/04/2025,17:53,02/04/2025,21:17,03:24,"WP14, WP18, WP4"
115,02/04/2025,18:52,03/04/2025,21:16,26:24,"WP16, WP12"
116,02/04/2025,12:19,03/04/2025,13:43,25:24,"WP7, WP12"
117,02/04/2025,16:37,03/04/2025,01:25,08:48,"WP18, WP19"
118,02/04/2025,00:33,02/04/2025,08:21,07:48,"WP11, WP24, WP18, WP1"
119,02/04/2025,18:18,02/04/2025,20:06,01:48,"WP3, WP6"
120,02/04/2025,17:26,02/04/2025,19:14,01:48,"WP6, WP3"
