Aircraft (A/C) Serial Number,A/C Landing Date,A/C Landing Time,A/C departure Date,A/C departure Time,Turn Around Time,Work that needs to be carried out
101,20/02/2025,19:07,21/02/2025,06:55,11:48,"WP10, WP16, WP2, WP6, WP15, WP20"
102,20/02/2025,21:55,22/02/2025,00:43,26:48,"WP14, WP15"
103,20/02/2025,08:18,20/02/2025,14:42,06:24,"WP24, WP18"
104,20/02/2025,16:00,21/02/2025,04:12,12:12,"WP21, WP1, WP11, WP23"
105,20/02/2025,18:07,21/02/2025,20:19,26:12,"WP4, WP15"
106,20/02/2025,16:26,21/02/2025,00:02,07:36,"WP16, WP20"
107,20/02/2025,16:12,21/02/2025,18:12,26:00,"WP1, WP14"
108,20/02/2025,21:19,21/02/2025,00:19,03:00,"WP12, WP8, WP15"
109,20/02/2025,02:41,20/02/2025,22:05,19:24,"WP23, WP19, WP24, WP4, WP12"
110,20/02/2025,15:24,20/02/2025,19:12,03:48,"WP17, WP16, WP7"
111,20/02/2025,09:35,20/02/2025,14:23,04:48,"WP3, WP22"
112,20/02/2025,13:32,21/02/2025,15:20,25:48,"WP7, WP3"
113,20/02/2025,11:00,21/02/2025,14:12,27:12,"WP18, WP16"
114,20/02/2025,10:25,21/02/2025,12:49,26:24,"WP5, WP15"
115,20/02/2025,00:44,21/02/2025,03:20,26:36,"WP13, WP12, WP4"
116,20/02/2025,13:08,21/02/2025,14:20,25:12,"WP8, WP6"
117,20/02/2025,03:48,20/02/2025,12:36,08:48,"WP17, WP9, WP23"
118,20/02/2025,01:09,21/02/2025,02:21,25:12,WP3
119,20/02/2025,11:09,21/02/2025,14:21,27:12,"WP5, WP10, WP9"
120,20/02/2025,17:59,21/02/2025,18:35,24:36,WP4
