Aicraft (A/C) Serial Number,A/C Landing Date,A/C Landing Time,A/C departure Date,A/C departure Time,Turn Around Time,Work that needs to be carried out
101,24/12/2025,15:39,24/12/2025,23:39,08:00,"WP5, WP4, WP23, WP11"
102,24/12/2025,21:10,25/12/2025,09:58,12:48,"WP24, WP10, WP12, WP13, WP8, WP4, WP22"
103,24/12/2025,07:24,24/12/2025,10:48,03:24,"WP13, WP18, WP7"
104,24/12/2025,03:55,24/12/2025,13:19,09:24,"WP19, WP6, WP17"
105,24/12/2025,20:54,25/12/2025,10:30,13:36,"WP18, WP9, WP19, WP22"
106,24/12/2025,16:52,25/12/2025,18:16,25:24,"WP1, WP4"
107,24/12/2025,22:43,26/12/2025,00:43,26:00,"WP10, WP5"
108,24/12/2025,13:35,25/12/2025,15:35,26:00,"WP4, WP12, WP6"
109,24/12/2025,04:31,25/12/2025,05:43,25:12,"WP11, WP4"
110,24/12/2025,13:38,25/12/2025,16:02,26:24,"WP14, WP10"
111,24/12/2025,19:33,25/12/2025,03:09,07:36,"WP15, WP21, WP3"
112,24/12/2025,03:31,24/12/2025,11:55,08:24,"WP16, WP20, WP5"
113,24/12/2025,01:32,24/12/2025,04:20,02:48,"WP8, WP17, WP11"
114,24/12/2025,09:53,25/12/2025,00:41,14:48,"WP12, WP5, WP9, WP20, WP23"
115,24/12/2025,05:06,24/12/2025,06:54,01:48,"WP7, WP9"
116,24/12/2025,18:00,25/12/2025,20:48,26:48,"WP9, WP15"
117,24/12/2025,19:03,25/12/2025,21:51,26:48,"WP17, WP10"
118,24/12/2025,04:26,24/12/2025,11:38,07:12,"WP3, WP23"
119,24/12/2025,17:22,25/12/2025,18:10,24:48,WP2
120,24/12/2025,16:13,25/12/2025,19:49,27:36,WP22
