Aicraft (A/C) Serial Number,A/C Landing Date,A/C Landing Time,A/C departure Date,A/C departure Time,Turn Around Time,Work that needs to be carried out
101,17/11/2025,05:10,18/11/2025,06:34,25:24,"WP12, WP6"
102,17/11/2025,21:16,18/11/2025,00:16,03:00,"WP3, WP13, WP7"
103,17/11/2025,01:30,17/11/2025,08:42,07:12,"WP16, WP24, WP2"
104,17/11/2025,22:59,19/11/2025,02:11,27:12,"WP17, WP16"
105,17/11/2025,19:26,18/11/2025,20:50,25:24,"WP4, WP1"
106,17/11/2025,11:10,17/11/2025,18:22,07:12,"WP24, WP15, WP5"
107,17/11/2025,00:06,18/11/2025,03:54,27:48,"WP8, WP17, WP16"
108,17/11/2025,00:15,17/11/2025,09:27,09:12,"WP5, WP15, WP12, WP23"
109,17/11/2025,13:46,18/11/2025,15:34,25:48,"WP9, WP6"
110,17/11/2025,21:31,18/11/2025,05:43,08:12,"WP21, WP16, WP8, WP10"
111,17/11/2025,19:30,17/11/2025,21:54,02:24,"WP10, WP3"
112,17/11/2025,07:15,18/11/2025,02:27,19:12,"WP23, WP20, WP19"
113,17/11/2025,20:22,17/11/2025,22:46,02:24,"WP1, WP15"
114,17/11/2025,22:50,18/11/2025,05:38,06:48,"WP20, WP1"
115,17/11/2025,01:55,17/11/2025,13:07,11:12,"WP22, WP16, WP21, WP10"
116,17/11/2025,03:59,17/11/2025,04:47,00:48,WP2
117,17/11/2025,20:41,18/11/2025,05:29,08:48,"WP19, WP17"
118,17/11/2025,13:35,17/11/2025,15:47,02:12,"WP11, WP17"
119,17/11/2025,03:01,17/11/2025,05:25,02:24,"WP14, WP3"
120,17/11/2025,09:00,18/11/2025,10:36,25:36,WP18
