Aicraft (A/C) Serial Number,A/C Landing Date,A/C Landing Time,A/C departure Date,A/C departure Time,Turn Around Time,Work that needs to be carried out
101,04/01/2025,13:32,05/01/2025,15:20,25:48,"WP6, WP9"
102,04/01/2025,21:08,05/01/2025,22:32,25:24,"WP7, WP5"
103,04/01/2025,02:52,04/01/2025,04:16,01:24,"WP12, WP6"
104,04/01/2025,03:31,04/01/2025,13:43,10:12,"WP8, WP18, WP2, WP23, WP10"
105,04/01/2025,03:39,05/01/2025,05:51,26:12,"WP15, WP8"
106,04/01/2025,19:52,04/01/2025,22:16,02:24,"WP16, WP12"
107,04/01/2025,06:10,04/01/2025,14:58,08:48,"WP18, WP20, WP10"
108,04/01/2025,01:17,04/01/2025,11:17,10:00,"WP22, WP3, WP16, WP2, WP15, WP10"
109,04/01/2025,03:18,04/01/2025,15:18,12:00,"WP23, WP4, WP22, WP7, WP8, WP6"
110,04/01/2025,12:17,04/01/2025,20:53,08:36,"WP9, WP2, WP23, WP6"
111,04/01/2025,14:25,05/01/2025,17:13,26:48,"WP13, WP5, WP1"
112,04/01/2025,15:04,05/01/2025,18:16,27:12,"WP17, WP15"
113,04/01/2025,22:04,05/01/2025,06:04,08:00,"WP24, WP3, WP5, WP13"
114,04/01/2025,16:54,05/01/2025,18:30,25:36,"WP5, WP2"
115,04/01/2025,00:53,04/01/2025,06:17,05:24,"WP4, WP21"
116,04/01/2025,16:33,04/01/2025,17:09,00:36,WP11
117,04/01/2025,08:35,05/01/2025,10:23,25:48,"WP14, WP8"
118,04/01/2025,17:16,05/01/2025,04:04,10:48,"WP19, WP22"
119,04/01/2025,13:18,04/01/2025,20:30,07:12,"WP10, WP20"
120,04/01/2025,02:31,04/01/2025,09:43,07:12,"WP20, WP14"
