Aicraft (A/C) Serial Number,A/C Landing Date,A/C Landing Time,A/C departure Date,A/C departure Time,Turn Around Time,Work that needs to be carried out
101,16/05/2025,03:39,16/05/2025,10:27,06:48,"WP20, WP1"
102,16/05/2025,22:01,17/05/2025,11:37,13:36,"WP18, WP19, WP9, WP22"
103,16/05/2025,17:40,17/05/2025,08:04,14:24,"WP21, WP19, WP1, WP15"
104,16/05/2025,12:39,17/05/2025,16:03,27:24,"WP14, WP15, WP7"
105,16/05/2025,14:17,16/05/2025,19:41,05:24,"WP24, WP8"
106,16/05/2025,07:12,17/05/2025,09:00,25:48,"WP13, WP7"
107,16/05/2025,03:34,16/05/2025,06:22,02:48,"WP17, WP10"
108,16/05/2025,08:32,16/05/2025,16:20,07:48,"WP19, WP7"
109,16/05/2025,14:04,16/05/2025,17:40,03:36,"WP1, WP16, WP6, WP4"
110,16/05/2025,03:36,17/05/2025,06:36,27:00,"WP7, WP8, WP9, WP11"
111,16/05/2025,16:19,16/05/2025,17:43,01:24,"WP12, WP7"
112,16/05/2025,22:24,17/05/2025,05:36,07:12,"WP23, WP13"
113,16/05/2025,05:33,16/05/2025,09:45,04:12,"WP2, WP9, WP7, WP18"
114,16/05/2025,08:53,16/05/2025,17:05,08:12,"WP4, WP18, WP10, WP21"
115,16/05/2025,17:21,16/05/2025,23:09,05:48,"WP22, WP4, WP16"
116,16/05/2025,01:18,17/05/2025,02:30,25:12,"WP11, WP8"
117,16/05/2025,13:23,17/05/2025,15:23,26:00,"WP3, WP5"
118,16/05/2025,02:59,16/05/2025,12:23,09:24,"WP10, WP15, WP7, WP21, WP13"
119,16/05/2025,12:35,17/05/2025,13:11,24:36,WP8
120,16/05/2025,17:31,17/05/2025,18:07,24:36,WP4
