Aicraft (A/C) Serial Number,A/C Landing Date,A/C Landing Time,A/C departure Date,A/C departure Time,Turn Around Time,Work that needs to be carried out
101,08/07/2025,19:06,09/07/2025,01:54,06:48,"WP20, WP12"
102,08/07/2025,21:47,10/07/2025,00:11,26:24,"WP16, WP1"
103,08/07/2025,09:04,08/07/2025,17:52,08:48,"WP2, WP19, WP12"
104,08/07/2025,02:30,08/07/2025,08:06,05:36,"WP22, WP3, WP1"
105,08/07/2025,13:16,08/07/2025,20:28,07:12,"WP9, WP20"
106,08/07/2025,13:38,09/07/2025,16:26,26:48,"WP3, WP17"
107,08/07/2025,21:10,08/07/2025,22:58,01:48,"WP7, WP6, WP11"
108,08/07/2025,00:15,08/07/2025,09:03,08:48,"WP17, WP9, WP23"
109,08/07/2025,04:54,08/07/2025,10:54,06:00,"WP13, WP24"
110,08/07/2025,00:29,09/07/2025,03:41,27:12,"WP12, WP14, WP3"
111,08/07/2025,12:17,09/07/2025,13:29,25:12,"WP11, WP4"
112,08/07/2025,07:29,08/07/2025,13:29,06:00,"WP21, WP9"
113,08/07/2025,15:41,08/07/2025,18:17,02:36,"WP5, WP11, WP9"
114,08/07/2025,03:40,09/07/2025,05:52,26:12,"WP18, WP7"
115,08/07/2025,00:50,09/07/2025,03:14,26:24,"WP6, WP11, WP7, WP8"
116,08/07/2025,10:41,08/07/2025,23:05,12:24,"WP15, WP24, WP23"
117,08/07/2025,06:42,09/07/2025,09:54,27:12,"WP14, WP10, WP12"
118,08/07/2025,07:22,09/07/2025,08:10,24:48,WP2
119,08/07/2025,18:04,09/07/2025,00:04,06:00,WP23
120,08/07/2025,10:33,08/07/2025,11:09,00:36,WP7
