Aicraft (A/C) Serial Number,A/C Landing Date,A/C Landing Time,A/C departure Date,A/C departure Time,Turn Around Time,Work that needs to be carried out
101,21/04/2025,12:32,21/04/2025,14:32,02:00,"WP2, WP9"
102,21/04/2025,06:02,21/04/2025,13:38,07:36,"WP23, WP17"
103,21/04/2025,16:04,22/04/2025,04:04,12:00,"WP19, WP21"
104,21/04/2025,14:10,21/04/2025,17:22,03:12,"WP17, WP18"
105,21/04/2025,10:16,22/04/2025,12:16,26:00,"WP12, WP9"
106,21/04/2025,14:58,21/04/2025,16:46,01:48,"WP3, WP4"
107,21/04/2025,05:53,21/04/2025,10:41,04:48,"WP18, WP2, WP15, WP12"
108,21/04/2025,19:08,21/04/2025,21:08,02:00,"WP1, WP3"
109,21/04/2025,05:56,22/04/2025,08:44,26:48,"WP13, WP17"
110,21/04/2025,04:27,21/04/2025,06:39,02:12,"WP8, WP17"
111,21/04/2025,20:28,22/04/2025,02:40,06:12,"WP6, WP24, WP2"
112,21/04/2025,00:24,21/04/2025,11:00,10:36,"WP7, WP8, WP19, WP4, WP18"
113,21/04/2025,16:37,22/04/2025,01:49,09:12,"WP20, WP14, WP9, WP1"
114,21/04/2025,03:20,21/04/2025,09:20,06:00,"WP9, WP24"
115,21/04/2025,18:40,22/04/2025,22:16,27:36,WP22
116,21/04/2025,04:51,21/04/2025,09:27,04:36,"WP10, WP16, WP9, WP7"
117,21/04/2025,09:49,21/04/2025,14:49,05:00,"WP4, WP1, WP5, WP16, WP9"
118,21/04/2025,17:38,21/04/2025,20:38,03:00,"WP11, WP13, WP9"
119,21/04/2025,12:07,21/04/2025,18:07,06:00,"WP24, WP3"
120,21/04/2025,13:54,21/04/2025,19:30,05:36,"WP21, WP5"
