Aicraft (A/C) Serial Number,A/C Landing Date,A/C Landing Time,A/C departure Date,A/C departure Time,Turn Around Time,Work that needs to be carried out
101,20/09/2025,18:06,21/09/2025,21:30,27:24,"WP9, WP16, WP11"
102,20/09/2025,20:38,21/09/2025,08:38,12:00,"WP20, WP23"
103,20/09/2025,07:50,21/09/2025,11:02,27:12,"WP12, WP4, WP6, WP14"
104,20/09/2025,20:23,21/09/2025,21:35,25:12,"WP6, WP11"
105,20/09/2025,21:58,21/09/2025,05:58,08:00,"WP1, WP17, WP2, WP24"
106,20/09/2025,15:52,20/09/2025,19:52,04:00,"WP16, WP10, WP14"
107,20/09/2025,01:22,21/09/2025,04:46,27:24,"WP13, WP11, WP18"
108,20/09/2025,21:28,21/09/2025,09:04,11:36,"WP5, WP19, WP22"
109,20/09/2025,14:31,20/09/2025,23:07,08:36,"WP18, WP8, WP3, WP22, WP16"
110,20/09/2025,13:11,21/09/2025,15:11,26:00,"WP7, WP12, WP11"
111,20/09/2025,15:41,20/09/2025,18:53,03:12,"WP3, WP13, WP12"
112,20/09/2025,00:27,21/09/2025,02:15,25:48,"WP11, WP14"
113,20/09/2025,22:34,21/09/2025,02:58,04:24,"WP14, WP8, WP7, WP12, WP3"
114,20/09/2025,02:12,21/09/2025,04:48,26:36,"WP10, WP5, WP6"
115,20/09/2025,21:51,21/09/2025,06:39,08:48,"WP15, WP19"
116,20/09/2025,13:35,20/09/2025,22:35,09:00,"WP21, WP5, WP11, WP16, WP13"
117,20/09/2025,19:18,20/09/2025,22:54,03:36,WP22
118,20/09/2025,04:28,21/09/2025,05:52,25:24,"WP4, WP2"
119,20/09/2025,01:58,20/09/2025,08:22,06:24,"WP15, WP21"
120,20/09/2025,13:50,20/09/2025,15:14,01:24,"WP2, WP6"
