Aicraft (A/C) Serial Number,A/C Landing Date,A/C Landing Time,A/C departure Date,A/C departure Time,Turn Around Time,Work that needs to be carried out
101,25/07/2025,19:59,26/07/2025,00:11,04:12,"WP6, WP14, WP10, WP3"
102,25/07/2025,09:35,25/07/2025,12:23,02:48,"WP16, WP13"
103,25/07/2025,16:05,25/07/2025,21:17,05:12,"WP15, WP22"
104,25/07/2025,22:49,26/07/2025,02:01,03:12,"WP17, WP16"
105,25/07/2025,01:58,25/07/2025,14:34,12:36,"WP24, WP8, WP6, WP23, WP4"
106,25/07/2025,18:16,26/07/2025,03:16,09:00,"WP12, WP4, WP15, WP24, WP14"
107,25/07/2025,03:19,25/07/2025,09:55,06:36,"WP23, WP7"
108,25/07/2025,07:07,25/07/2025,19:07,12:00,"WP4, WP7, WP23, WP21"
109,25/07/2025,18:45,26/07/2025,00:09,05:24,"WP8, WP24"
110,25/07/2025,12:59,25/07/2025,16:47,03:48,"WP11, WP16, WP17"
111,25/07/2025,00:59,25/07/2025,05:23,04:24,"WP1, WP22"
112,25/07/2025,03:13,25/07/2025,13:01,09:48,"WP20, WP4, WP17, WP18"
113,25/07/2025,21:13,25/07/2025,23:13,02:00,"WP3, WP2"
114,25/07/2025,04:40,25/07/2025,14:16,09:36,"WP10, WP14, WP19"
115,25/07/2025,14:57,26/07/2025,16:57,26:00,"WP2, WP10"
116,25/07/2025,04:23,25/07/2025,07:35,03:12,"WP13, WP5, WP9"
117,25/07/2025,04:28,26/07/2025,06:40,26:12,"WP7, WP18"
118,25/07/2025,16:26,25/07/2025,22:38,06:12,"WP10, WP2, WP9, WP6, WP3, WP13"
119,25/07/2025,21:18,26/07/2025,02:06,04:48,"WP13, WP22"
120,25/07/2025,11:34,25/07/2025,13:10,01:36,WP15
