Aicraft (A/C) Serial Number,A/C Landing Date,A/C Landing Time,A/C departure Date,A/C departure Time,Turn Around Time,Work that needs to be carried out
101,12/01/2025,17:45,13/01/2025,03:45,10:00,"WP12, WP17, WP21, WP13, WP15"
102,12/01/2025,19:03,13/01/2025,21:51,26:48,"WP13, WP17"
103,12/01/2025,17:15,12/01/2025,19:27,02:12,"WP7, WP16"
104,12/01/2025,09:18,12/01/2025,11:42,02:24,"WP1, WP15"
105,12/01/2025,12:42,13/01/2025,00:42,12:00,"WP23, WP9, WP24"
106,12/01/2025,08:48,12/01/2025,17:24,08:36,"WP15, WP4, WP21, WP18"
107,12/01/2025,03:09,12/01/2025,08:09,05:00,"WP4, WP22, WP2"
108,12/01/2025,10:20,12/01/2025,12:08,01:48,"WP11, WP14"
109,12/01/2025,03:53,12/01/2025,11:05,07:12,WP19
110,12/01/2025,01:50,13/01/2025,03:50,26:00,"WP14, WP2"
111,12/01/2025,12:09,12/01/2025,14:45,02:36,"WP3, WP6, WP5"
112,12/01/2025,22:05,13/01/2025,23:29,25:24,"WP8, WP2"
113,12/01/2025,15:32,12/01/2025,17:20,01:48,"WP10, WP6"
114,12/01/2025,21:31,13/01/2025,03:07,05:36,"WP21, WP2"
115,12/01/2025,06:05,12/01/2025,08:17,02:12,"WP6, WP18"
116,12/01/2025,22:05,14/01/2025,01:41,27:36,"WP2, WP16, WP4, WP7"
117,12/01/2025,06:16,13/01/2025,09:16,27:00,"WP20, WP21, WP24, WP23, WP13, WP8, WP22"
118,12/01/2025,22:57,14/01/2025,01:45,26:48,"WP17, WP9"
119,12/01/2025,08:10,12/01/2025,09:46,01:36,"WP5, WP12"
120,12/01/2025,05:40,12/01/2025,12:04,06:24,"WP24, WP15"
