Aircraft (A/C) Serial Number,A/C Landing Date,A/C Landing Time,A/C departure Date,A/C departure Time,Turn Around Time,Work that needs to be carried out
101,22/05/2025,17:44,22/05/2025,20:44,03:00,"WP18, WP12, WP7"
102,22/05/2025,14:50,23/05/2025,18:14,27:24,"WP3, WP6, WP17"
103,22/05/2025,17:25,23/05/2025,18:49,25:24,"WP8, WP2"
104,22/05/2025,15:39,23/05/2025,19:27,27:48,"WP4, WP13, WP14, WP1"
105,22/05/2025,19:10,23/05/2025,01:34,06:24,"WP24, WP15"
106,22/05/2025,07:50,22/05/2025,20:02,12:12,"WP12, WP10, WP15, WP5, WP19, WP8"
107,22/05/2025,12:15,22/05/2025,15:51,03:36,"WP13, WP3, WP10"
108,22/05/2025,16:53,22/05/2025,18:17,01:24,"WP7, WP12"
109,22/05/2025,16:27,23/05/2025,05:03,12:36,"WP21, WP4, WP19"
110,22/05/2025,21:10,22/05/2025,23:34,02:24,"WP14, WP10"
111,22/05/2025,05:15,22/05/2025,12:27,07:12,"WP10, WP3, WP21"
112,22/05/2025,11:32,23/05/2025,12:56,25:24,"WP5, WP11"
113,22/05/2025,17:02,22/05/2025,18:26,01:24,"WP11, WP1"
114,22/05/2025,11:18,23/05/2025,04:54,17:36,"WP20, WP23, WP12, WP10, WP22"
115,22/05/2025,14:12,22/05/2025,16:36,02:24,"WP2, WP16"
116,22/05/2025,20:34,23/05/2025,22:46,26:12,"WP6, WP18"
117,22/05/2025,05:03,22/05/2025,07:27,02:24,"WP9, WP14"
118,22/05/2025,15:39,22/05/2025,17:51,02:12,"WP7, WP2, WP1"
119,22/05/2025,16:02,22/05/2025,18:14,02:12,"WP11, WP15"
120,22/05/2025,15:39,23/05/2025,16:51,25:12,WP3
