Aircraft (A/C) Serial Number,A/C Landing Date,A/C Landing Time,A/C departure Date,A/C departure Time,Turn Around Time,Work that needs to be carried out
101,08/03/2025,05:41,08/03/2025,06:53,01:12,"WP8, WP4"
102,08/03/2025,01:35,08/03/2025,06:59,05:24,"WP3, WP11, WP22"
103,08/03/2025,06:10,09/03/2025,07:34,25:24,"WP5, WP7"
104,08/03/2025,14:54,08/03/2025,23:18,08:24,"WP10, WP23, WP9"
105,08/03/2025,13:02,08/03/2025,15:14,02:12,"WP7, WP2, WP12"
106,08/03/2025,22:34,09/03/2025,12:58,14:24,"WP13, WP19, WP10, WP21"
107,08/03/2025,02:49,08/03/2025,12:49,10:00,"WP19, WP18, WP13"
108,08/03/2025,07:16,08/03/2025,10:28,03:12,"WP15, WP17"
109,08/03/2025,18:53,09/03/2025,20:29,25:36,"WP1, WP2"
110,08/03/2025,18:21,08/03/2025,21:09,02:48,"WP9, WP18"
111,08/03/2025,10:12,08/03/2025,12:12,02:00,"WP2, WP14"
112,08/03/2025,17:34,09/03/2025,04:22,10:48,"WP24, WP20"
113,08/03/2025,13:26,08/03/2025,14:38,01:12,"WP6, WP8"
114,08/03/2025,08:28,08/03/2025,11:28,03:00,"WP11, WP18, WP2"
115,08/03/2025,09:33,08/03/2025,18:21,08:48,"WP16, WP19"
116,08/03/2025,08:30,08/03/2025,10:42,02:12,"WP5, WP1, WP4"
117,08/03/2025,22:39,10/03/2025,00:39,26:00,"WP2, WP3"
118,08/03/2025,15:27,08/03/2025,22:39,07:12,"WP7, WP13, WP24, WP4"
119,08/03/2025,00:55,09/03/2025,03:07,26:12,"WP17, WP11"
120,08/03/2025,06:04,08/03/2025,13:52,07:48,"WP24, WP2, WP8, WP16"
