Aicraft (A/C) Serial Number,A/C Landing Date,A/C Landing Time,A/C departure Date,A/C departure Time,Turn Around Time,Work that needs to be carried out
101,07/10/2025,05:34,08/10/2025,07:22,25:48,"WP6, WP9"
102,07/10/2025,08:35,07/10/2025,13:23,04:48,"WP22, WP10"
103,07/10/2025,21:43,08/10/2025,05:19,07:36,"WP9, WP21, WP17"
104,07/10/2025,08:37,07/10/2025,11:49,03:12,"WP1, WP10, WP9"
105,07/10/2025,03:25,07/10/2025,09:25,06:00,"WP24, WP9"
106,07/10/2025,18:41,08/10/2025,20:29,25:48,"WP3, WP4"
107,07/10/2025,04:43,07/10/2025,12:31,07:48,"WP11, WP19"
108,07/10/2025,08:33,07/10/2025,14:33,06:00,WP20
109,07/10/2025,02:28,07/10/2025,11:04,08:36,"WP14, WP2, WP23, WP6"
110,07/10/2025,01:58,07/10/2025,10:58,09:00,"WP4, WP13, WP23, WP10"
111,07/10/2025,11:09,07/10/2025,15:33,04:24,"WP5, WP22"
112,07/10/2025,20:12,08/10/2025,03:36,07:24,"WP12, WP11, WP23"
113,07/10/2025,14:08,08/10/2025,16:20,26:12,"WP18, WP8"
114,07/10/2025,16:32,08/10/2025,04:08,11:36,"WP13, WP1, WP22, WP21, WP14"
115,07/10/2025,12:40,07/10/2025,16:16,03:36,"WP16, WP10, WP5"
116,07/10/2025,18:16,08/10/2025,04:16,10:00,"WP23, WP4, WP11, WP17, WP10"
117,07/10/2025,07:46,08/10/2025,10:34,26:48,"WP15, WP3"
118,07/10/2025,18:16,07/10/2025,21:40,03:24,"WP7, WP3, WP15"
119,07/10/2025,21:15,07/10/2025,21:51,00:36,WP11
120,07/10/2025,09:09,07/10/2025,10:33,01:24,"WP4, WP2"
