Aicraft (A/C) Serial Number,A/C Landing Date,A/C Landing Time,A/C departure Date,A/C departure Time,Turn Around Time,Work that needs to be carried out
101,01/11/2025,06:09,01/11/2025,08:21,02:12,"WP6, WP17"
102,01/11/2025,06:59,01/11/2025,14:59,08:00,"WP2, WP1, WP24, WP18"
103,01/11/2025,05:48,01/11/2025,12:24,06:36,"WP11, WP23"
104,01/11/2025,16:10,01/11/2025,20:22,04:12,"WP4, WP22"
105,01/11/2025,13:10,02/11/2025,17:10,28:00,"WP13, WP9, WP16"
106,01/11/2025,07:14,01/11/2025,15:26,08:12,"WP15, WP23, WP6"
107,01/11/2025,01:14,01/11/2025,09:38,08:24,"WP20, WP12, WP17"
108,01/11/2025,09:01,01/11/2025,11:25,02:24,"WP18, WP5"
109,01/11/2025,20:45,02/11/2025,05:09,08:24,"WP9, WP3, WP20"
110,01/11/2025,04:27,01/11/2025,06:03,01:36,"WP5, WP2"
111,01/11/2025,15:31,02/11/2025,17:55,26:24,"WP16, WP2"
112,01/11/2025,12:35,02/11/2025,04:11,15:36,"WP19, WP22, WP24"
113,01/11/2025,09:29,01/11/2025,12:41,03:12,"WP10, WP9, WP1"
114,01/11/2025,21:47,02/11/2025,23:11,25:24,"WP12, WP4"
115,01/11/2025,12:25,01/11/2025,18:25,06:00,"WP21, WP10"
116,01/11/2025,21:56,02/11/2025,03:56,06:00,"WP24, WP14"
117,01/11/2025,03:44,02/11/2025,04:56,25:12,"WP7, WP4"
118,01/11/2025,15:30,02/11/2025,00:06,08:36,"WP1, WP14, WP23, WP6"
119,01/11/2025,14:57,02/11/2025,16:45,25:48,"WP9, WP8"
120,01/11/2025,10:04,02/11/2025,12:28,26:24,"WP16, WP1"
