Aicraft (A/C) Serial Number,A/C Landing Date,A/C Landing Time,A/C departure Date,A/C departure Time,Turn Around Time,Work that needs to be carried out
101,11/02/2025,18:44,12/02/2025,01:56,07:12,"WP9, WP23"
102,11/02/2025,01:07,12/02/2025,04:43,27:36,"WP17, WP14, WP2"
103,11/02/2025,15:19,11/02/2025,19:43,04:24,"WP1, WP22"
104,11/02/2025,11:33,11/02/2025,14:45,03:12,"WP4, WP10, WP2, WP8"
105,11/02/2025,10:32,11/02/2025,11:44,01:12,"WP8, WP6"
106,11/02/2025,03:36,12/02/2025,06:24,26:48,"WP3, WP18"
107,11/02/2025,05:47,11/02/2025,11:47,06:00,"WP10, WP22, WP9"
108,11/02/2025,03:58,11/02/2025,05:58,02:00,"WP6, WP1, WP11"
109,11/02/2025,07:43,12/02/2025,00:07,16:24,"WP18, WP19, WP6, WP15, WP12, WP3, WP16, WP10, WP11"
110,11/02/2025,06:56,11/02/2025,11:44,04:48,"WP22, WP13"
111,11/02/2025,09:01,11/02/2025,15:49,06:48,"WP11, WP5, WP24, WP7"
112,11/02/2025,20:35,12/02/2025,21:59,25:24,"WP12, WP4"
113,11/02/2025,06:18,11/02/2025,14:42,08:24,"WP21, WP22"
114,11/02/2025,20:00,11/02/2025,21:24,01:24,"WP2, WP4"
115,11/02/2025,10:54,12/02/2025,13:42,26:48,"WP16, WP13"
116,11/02/2025,11:20,11/02/2025,23:56,12:36,"WP20, WP23, WP11"
117,11/02/2025,16:34,12/02/2025,19:22,26:48,"WP15, WP13"
118,11/02/2025,07:12,11/02/2025,15:00,07:48,"WP19, WP4"
119,11/02/2025,03:21,12/02/2025,05:45,26:24,"WP13, WP9"
120,11/02/2025,17:23,12/02/2025,18:35,25:12,WP10
