Aircraft (A/C) Serial Number,A/C Landing Date,A/C Landing Time,A/C departure Date,A/C departure Time,Turn Around Time,Work that needs to be carried out
101,18/06/2025,23:35,19/06/2025,00:11,00:36,WP8
102,18/06/2025,04:18,18/06/2025,11:06,06:48,"WP12, WP20"
103,18/06/2025,22:57,18/06/2025,23:45,00:48,WP5
104,18/06/2025,21:07,19/06/2025,01:55,04:48,WP21
105,18/06/2025,19:09,18/06/2025,20:21,01:12,WP13
106,18/06/2025,06:01,18/06/2025,14:13,08:12,"WP23, WP4, WP18"
107,18/06/2025,15:29,18/06/2025,18:05,02:36,"WP9, WP5, WP6"
108,18/06/2025,18:23,18/06/2025,21:35,03:12,"WP2, WP17, WP2"
109,18/06/2025,02:59,18/06/2025,19:47,16:48,"WP16, WP12, WP6, WP23, WP6, WP10, WP23"
110,18/06/2025,15:55,18/06/2025,21:55,06:00,"WP14, WP21"
111,18/06/2025,12:51,18/06/2025,15:03,02:12,"WP17, WP11"
112,18/06/2025,17:39,18/06/2025,20:03,02:24,"WP10, WP10"
113,18/06/2025,12:29,18/06/2025,13:05,00:36,WP11
114,18/06/2025,19:11,19/06/2025,00:59,05:48,"WP18, WP4, WP22"
115,18/06/2025,05:54,18/06/2025,08:30,02:36,"WP6, WP13, WP1"
116,18/06/2025,21:46,18/06/2025,22:22,00:36,WP7
117,18/06/2025,22:11,18/06/2025,22:47,00:36,WP4
118,18/06/2025,16:00,18/06/2025,18:48,02:48,"WP15, WP3"
119,18/06/2025,16:36,19/06/2025,09:24,16:48,"WP24, WP19, WP24"
120,18/06/2025,20:14,19/06/2025,02:14,06:00,WP20
