Aircraft (A/C) Serial Number,A/C Landing Date,A/C Landing Time,A/C departure Date,A/C departure Time,Turn Around Time,Work that needs to be carried out
101,27/11/2025,20:41,27/11/2025,21:29,00:48,WP1
102,27/11/2025,10:58,27/11/2025,16:58,06:00,WP23
103,27/11/2025,04:02,27/11/2025,11:14,07:12,WP19
104,27/11/2025,21:42,28/11/2025,03:42,06:00,"WP24, WP10"
105,27/11/2025,04:32,27/11/2025,05:20,00:48,WP12
106,27/11/2025,06:53,27/11/2025,13:29,06:36,"WP6, WP20"
107,27/11/2025,21:55,28/11/2025,07:07,09:12,"WP5, WP21, WP22"
108,27/11/2025,23:17,28/11/2025,00:53,01:36,WP15
109,27/11/2025,08:35,27/11/2025,09:47,01:12,WP13
110,27/11/2025,14:45,27/11/2025,15:21,00:36,WP7
111,27/11/2025,03:18,27/11/2025,12:06,08:48,"WP18, WP19"
112,27/11/2025,18:30,28/11/2025,01:42,07:12,"WP20, WP13"
113,27/11/2025,23:53,28/11/2025,07:05,07:12,"WP10, WP20"
114,27/11/2025,06:49,27/11/2025,08:25,01:36,WP17
115,27/11/2025,19:30,28/11/2025,08:42,13:12,"WP14, WP20, WP8, WP4, WP21"
116,27/11/2025,00:18,27/11/2025,06:42,06:24,"WP3, WP16, WP22"
117,27/11/2025,18:24,27/11/2025,19:00,00:36,WP8
118,27/11/2025,10:43,27/11/2025,11:55,01:12,WP9
119,27/11/2025,16:28,27/11/2025,20:04,03:36,"WP2, WP14, WP15"
120,27/11/2025,22:32,28/11/2025,00:44,02:12,"WP16, WP11"
