Aircraft (A/C) Serial Number,A/C Landing Date,A/C Landing Time,A/C departure Date,A/C departure Time,Turn Around Time,Work that needs to be carried out
101,08/08/2025,19:14,09/08/2025,02:26,07:12,WP19
102,08/08/2025,10:05,08/08/2025,16:53,06:48,"WP1, WP23"
103,08/08/2025,02:12,08/08/2025,03:24,01:12,WP10
104,08/08/2025,10:27,08/08/2025,17:03,06:36,"WP7, WP23"
105,08/08/2025,11:52,08/08/2025,13:28,01:36,WP15
106,08/08/2025,15:08,08/08/2025,16:44,01:36,WP18
107,08/08/2025,13:40,08/08/2025,16:04,02:24,"WP5, WP15"
108,08/08/2025,03:59,08/08/2025,16:23,12:24,"WP13, WP16, WP20, WP4, WP14, WP10, WP11"
109,08/08/2025,00:07,08/08/2025,04:55,04:48,WP24
110,08/08/2025,21:48,08/08/2025,23:12,01:24,"WP8, WP2"
111,08/08/2025,11:03,08/08/2025,17:03,06:00,WP23
112,08/08/2025,23:39,09/08/2025,09:39,10:00,"WP21, WP17, WP22"
113,08/08/2025,05:17,08/08/2025,11:53,06:36,"WP4, WP23"
114,08/08/2025,08:03,08/08/2025,11:15,03:12,"WP16, WP18"
115,08/08/2025,02:07,08/08/2025,03:19,01:12,WP9
116,08/08/2025,10:07,08/08/2025,11:19,01:12,WP3
117,08/08/2025,12:52,09/08/2025,02:04,13:12,"WP11, WP24, WP6, WP12, WP17, WP24"
118,08/08/2025,20:48,08/08/2025,21:36,00:48,WP12
119,08/08/2025,15:48,08/08/2025,18:12,02:24,"WP14, WP10"
120,08/08/2025,07:10,08/08/2025,14:46,07:36,"WP17, WP20"
