Aircraft (A/C) Serial Number,A/C Landing Date,A/C Landing Time,A/C departure Date,A/C departure Time,Turn Around Time,Work that needs to be carried out
101,05/03/2025,14:02,05/03/2025,20:26,06:24,"WP10, WP17, WP22"
102,05/03/2025,02:09,05/03/2025,04:21,02:12,"WP8, WP18"
103,05/03/2025,09:23,05/03/2025,16:35,07:12,WP19
104,05/03/2025,00:36,05/03/2025,01:12,00:36,WP7
105,05/03/2025,11:47,06/03/2025,00:59,13:12,"WP15, WP23, WP2, WP21"
106,05/03/2025,09:06,05/03/2025,09:54,00:48,WP2
107,05/03/2025,03:06,05/03/2025,04:42,01:36,WP16
108,05/03/2025,23:08,06/03/2025,01:32,02:24,"WP3, WP9"
109,05/03/2025,17:51,05/03/2025,19:51,02:00,"WP5, WP6, WP7"
110,05/03/2025,22:39,06/03/2025,06:27,07:48,"WP11, WP19"
111,05/03/2025,15:16,05/03/2025,18:52,03:36,"WP17, WP14, WP5"
112,05/03/2025,06:40,05/03/2025,07:52,01:12,WP13
113,05/03/2025,23:14,06/03/2025,00:02,00:48,WP12
114,05/03/2025,19:50,05/03/2025,20:26,00:36,WP4
115,05/03/2025,20:39,06/03/2025,01:03,04:24,"WP18, WP3, WP18"
116,05/03/2025,03:36,05/03/2025,12:48,09:12,"WP22, WP17, WP1, WP16, WP17"
117,05/03/2025,22:41,06/03/2025,05:53,07:12,"WP9, WP20"
118,05/03/2025,21:29,06/03/2025,02:17,04:48,WP24
119,05/03/2025,16:22,05/03/2025,22:22,06:00,WP23
120,05/03/2025,07:52,05/03/2025,12:40,04:48,WP21
