Aircraft (A/C) Serial Number,A/C Landing Date,A/C Landing Time,A/C departure Date,A/C departure Time,Turn Around Time,Work that needs to be carried out
101,18/02/2025,12:07,18/02/2025,14:31,02:24,"WP2, WP18"
102,18/02/2025,07:47,18/02/2025,09:11,01:24,"WP1, WP7"
103,18/02/2025,15:03,19/02/2025,09:51,18:48,"WP16, WP17, WP3, WP22, WP24, WP20"
104,18/02/2025,00:20,18/02/2025,01:08,00:48,WP12
105,18/02/2025,21:02,18/02/2025,23:50,02:48,"WP14, WP18"
106,18/02/2025,23:59,19/02/2025,07:11,07:12,WP19
107,18/02/2025,02:44,18/02/2025,03:20,00:36,WP8
108,18/02/2025,20:35,19/02/2025,02:11,05:36,"WP5, WP24"
109,18/02/2025,22:11,18/02/2025,23:23,01:12,WP9
110,18/02/2025,05:22,18/02/2025,05:58,00:36,WP7
111,18/02/2025,01:07,18/02/2025,01:43,00:36,WP4
112,18/02/2025,00:19,18/02/2025,03:55,03:36,WP22
113,18/02/2025,12:22,18/02/2025,23:58,11:36,"WP21, WP20, WP5"
114,18/02/2025,13:11,19/02/2025,06:11,17:00,"WP3, WP12, WP10, WP20, WP10, WP9, WP3, WP22, WP7"
115,18/02/2025,10:12,18/02/2025,10:48,00:36,WP6
116,18/02/2025,21:04,18/02/2025,22:40,01:36,WP18
117,18/02/2025,11:55,18/02/2025,13:31,01:36,WP17
118,18/02/2025,23:19,19/02/2025,00:31,01:12,WP10
119,18/02/2025,09:46,18/02/2025,10:22,00:36,WP11
120,18/02/2025,00:04,18/02/2025,19:16,19:12,"WP13, WP20, WP7, WP17, WP23, WP17, WP8, WP15"
