Aircraft (A/C) Serial Number,A/C Landing Date,A/C Landing Time,A/C departure Date,A/C departure Time,Turn Around Time,Work that needs to be carried out
101,24/12/2025,17:08,24/12/2025,23:44,06:36,"WP4, WP24, WP3"
102,24/12/2025,03:51,24/12/2025,14:39,10:48,"WP24, WP3, WP21"
103,24/12/2025,05:28,24/12/2025,07:16,01:48,"WP7, WP3"
104,24/12/2025,12:29,25/12/2025,09:29,21:00,"WP21, WP23, WP22, WP20, WP8"
105,24/12/2025,03:37,24/12/2025,05:13,01:36,WP15
106,24/12/2025,03:09,24/12/2025,12:45,09:36,"WP19, WP1, WP15"
107,24/12/2025,13:18,24/12/2025,14:06,00:48,WP2
108,24/12/2025,01:21,24/12/2025,02:33,01:12,WP14
109,24/12/2025,01:09,24/12/2025,01:45,00:36,WP6
110,24/12/2025,01:18,24/12/2025,02:30,01:12,WP10
111,24/12/2025,16:25,25/12/2025,02:01,09:36,"WP20, WP12, WP18, WP3"
112,24/12/2025,00:55,24/12/2025,01:43,00:48,WP1
113,24/12/2025,00:04,24/12/2025,11:16,11:12,"WP22, WP17, WP10, WP22, WP10"
114,24/12/2025,01:39,24/12/2025,04:27,02:48,"WP18, WP13"
115,24/12/2025,03:02,24/12/2025,12:14,09:12,"WP16, WP24, WP15, WP14"
116,24/12/2025,16:23,24/12/2025,18:59,02:36,"WP8, WP5, WP13"
117,24/12/2025,13:32,24/12/2025,23:44,10:12,"WP11, WP13, WP14, WP19"
118,24/12/2025,12:25,24/12/2025,13:13,00:48,WP12
119,24/12/2025,18:27,24/12/2025,21:15,02:48,"WP3, WP18"
120,24/12/2025,10:44,24/12/2025,11:56,01:12,WP9
